Label,Value,Year
Reported,256,1985
Cleared,99,1985
Reported,345,1986
Cleared,156,1986
Reported,278,1987
Cleared,123,1987
Reported,341,1988
Cleared,135,1988
Reported,348,1989
Cleared,122,1989
Reported,406,1990
Cleared,115,1990
Reported,403,1991
Cleared,161,1991
Reported,413,1992
Cleared,198,1992
Reported,296,1993
Cleared,125,1993
Reported,335,1994
Cleared,147,1994
Reported,382,1995
Cleared,139,1995
Reported,424,1996
Cleared,184,1996
Reported,403,1997
Cleared,162,1997
Reported,429,1998
Cleared,178,1998
Reported,494,1999
Cleared,210,1999
Reported,555,2000
Cleared,278,2000
Reported,506,2001
Cleared,254,2001
Reported,551,2002
Cleared,245,2002
Reported,453,2003
Cleared,217,2003
Reported,444,2004
Cleared,234,2004
Reported,500,2005
Cleared,247,2005
Reported,574,2006
Cleared,287,2006
Reported,507,2007
Cleared,302,2007
Reported,557,2008
Cleared,295,2008
Reported,567,2009
Cleared,328,2009
Reported,683,2010
Cleared,441,2010
Reported,787,2011
Cleared,471,2011
Reported,656,2012
Cleared,398,2012
Reported,735,2013
Cleared,467,2013
Reported,693,2014
Cleared,589,2014
Reported,709,2015
Cleared,526,2015
Reported,649,2016
Cleared,406,2016
Reported,589,2017
Cleared,361,2017
Reported,752,2018
Cleared,388,2018
