Label,Value,Year
Legacy Rape Reported,3,1986
Legacy Rape Cleared,2,1986
Legacy Rape Reported,1,1987
Legacy Rape Reported,1,1988
Legacy Rape Reported,2,1990
Legacy Rape Reported,2,1991
Legacy Rape Reported,2,1992
Legacy Rape Reported,7,1994
Legacy Rape Cleared,3,1994
Legacy Rape Reported,3,1995
Legacy Rape Cleared,1,1995
Legacy Rape Reported,6,1996
Legacy Rape Cleared,2,1996
Legacy Rape Reported,6,1997
Legacy Rape Cleared,4,1997
Legacy Rape Reported,3,1998
Legacy Rape Cleared,3,1998
Legacy Rape Reported,3,1999
Legacy Rape Cleared,2,1999
Legacy Rape Reported,2,2000
Legacy Rape Reported,5,2001
Legacy Rape Cleared,1,2001
Legacy Rape Reported,3,2002
Legacy Rape Cleared,1,2002
Legacy Rape Reported,3,2003
Legacy Rape Cleared,1,2003
Legacy Rape Reported,3,2004
Legacy Rape Cleared,2,2004
Legacy Rape Reported,4,2005
Legacy Rape Cleared,2,2005
Legacy Rape Reported,10,2009
Legacy Rape Cleared,5,2009
Legacy Rape Reported,5,2010
Legacy Rape Cleared,3,2010
Legacy Rape Reported,6,2011
Legacy Rape Cleared,4,2011
Legacy Rape Reported,13,2012
Legacy Rape Cleared,6,2012
Revised Rape Reported,6,2013
Revised Rape Cleared,5,2013
Revised Rape Reported,5,2014
Revised Rape Cleared,5,2014
Revised Rape Reported,10,2015
Revised Rape Cleared,10,2015
Revised Rape Reported,7,2016
Revised Rape Cleared,5,2016
Revised Rape Reported,2,2017
Revised Rape Cleared,1,2017
Revised Rape Reported,2,2018
Revised Rape Cleared,2,2018
