Label,Value,Year
Reported,1,1985
Cleared,1,1985
Reported,0,1986
Cleared,0,1986
Reported,2,1987
Cleared,1,1987
Reported,1,1988
Cleared,0,1988
Reported,3,1989
Cleared,1,1989
Reported,1,1990
Cleared,0,1990
Reported,1,1991
Cleared,0,1991
Reported,2,1992
Cleared,1,1992
Reported,1,1993
Cleared,1,1993
Reported,4,1994
Cleared,0,1994
Reported,1,1995
Cleared,0,1995
Reported,2,1996
Cleared,1,1996
Reported,3,1997
Cleared,2,1997
Reported,3,1998
Cleared,1,1998
Reported,7,1999
Cleared,2,1999
Reported,10,2000
Cleared,6,2000
Reported,2,2001
Cleared,2,2001
Reported,4,2002
Cleared,1,2002
Reported,0,2003
Cleared,0,2003
Reported,1,2004
Cleared,0,2004
Reported,6,2005
Cleared,2,2005
Reported,3,2006
Cleared,1,2006
Reported,4,2007
Cleared,2,2007
Reported,10,2008
Cleared,6,2008
Reported,5,2009
Cleared,2,2009
Reported,7,2010
Cleared,3,2010
Reported,7,2011
Cleared,3,2011
Reported,5,2012
Cleared,1,2012
Reported,6,2013
Cleared,4,2013
Reported,4,2014
Cleared,4,2014
Reported,6,2015
Cleared,4,2015
Reported,1,2016
Cleared,0,2016
Reported,4,2017
Cleared,4,2017
Reported,4,2018
Cleared,3,2018
