Label,Value,Year
Reported,3,1985
Cleared,2,1985
Reported,12,1986
Cleared,8,1986
Reported,9,1987
Cleared,6,1987
Reported,5,1988
Cleared,3,1988
Reported,12,1989
Cleared,7,1989
Reported,5,1990
Cleared,0,1990
Reported,10,1991
Cleared,2,1991
Reported,10,1992
Cleared,5,1992
Reported,7,1993
Cleared,6,1993
Reported,16,1994
Cleared,6,1994
Reported,12,1995
Cleared,9,1995
Reported,14,1996
Cleared,9,1996
Reported,16,1997
Cleared,11,1997
Reported,16,1998
Cleared,11,1998
Reported,21,1999
Cleared,12,1999
Reported,24,2000
Cleared,17,2000
Reported,16,2001
Cleared,12,2001
Reported,15,2002
Cleared,9,2002
Reported,12,2003
Cleared,7,2003
Reported,15,2004
Cleared,12,2004
Reported,20,2005
Cleared,13,2005
Reported,8,2006
Cleared,5,2006
Reported,16,2007
Cleared,13,2007
Reported,27,2008
Cleared,23,2008
Reported,30,2009
Cleared,15,2009
Reported,25,2010
Cleared,19,2010
Reported,28,2011
Cleared,19,2011
Reported,36,2012
Cleared,20,2012
Reported,22,2013
Cleared,19,2013
Reported,19,2014
Cleared,19,2014
Reported,27,2015
Cleared,24,2015
Reported,18,2016
Cleared,15,2016
Reported,21,2017
Cleared,19,2017
Reported,29,2018
Cleared,26,2018
