year,ori,violent_crime_actual,violent_crime_cleared,homicide_actual,homicide_cleared,robbery_actual,robbery_cleared,aggravated_assault_actual,aggravated_assault_cleared,property_crime_actual,property_crime_cleared,arson_actual,arson_cleared,burglary_actual,burglary_cleared,larceny_actual,larceny_cleared,motor_vehicle_theft_actual,motor_vehicle_theft_cleared
1985,MN0730600,3,2,0,0,1,1,2,1,256,99,0,0,16,3,230,93,10,3
1986,MN0730600,12,8,1,1,0,0,8,5,345,156,0,0,15,2,320,151,10,3
1987,MN0730600,9,6,0,0,2,1,6,5,278,123,0,0,11,0,263,121,4,2
1988,MN0730600,5,3,0,0,1,0,3,3,341,135,0,0,18,0,313,130,10,5
1989,MN0730600,12,7,0,0,3,1,9,6,348,122,0,0,32,4,307,111,9,7
1990,MN0730600,5,0,0,0,1,0,2,0,406,115,0,0,46,3,348,106,12,6
1991,MN0730600,10,2,0,0,1,0,7,2,403,161,0,0,28,1,351,146,24,14
1992,MN0730600,10,5,0,0,2,1,6,4,413,198,0,0,30,4,368,187,15,7
1993,MN0730600,7,6,0,0,1,1,6,5,296,125,0,0,32,5,250,110,14,10
1994,MN0730600,16,6,0,0,4,0,5,3,335,147,0,0,12,0,303,135,20,12
1995,MN0730600,12,9,0,0,1,0,8,8,382,139,0,0,36,4,328,120,18,15
1996,MN0730600,14,9,0,0,2,1,6,6,424,184,0,0,25,10,375,159,24,15
1997,MN0730600,16,11,0,0,3,2,7,5,403,162,1,1,20,3,368,147,15,12
1998,MN0730600,16,11,0,0,3,1,10,7,429,178,0,0,24,5,391,170,14,3
1999,MN0730600,21,12,1,1,7,2,10,7,494,210,3,0,24,4,450,197,20,9
2000,MN0730600,24,17,0,0,10,6,12,11,555,278,26,10,26,10,486,234,43,34
2001,MN0730600,16,12,0,0,2,2,9,9,506,254,12,4,25,4,468,238,13,12
2002,MN0730600,15,9,0,0,4,1,8,7,551,245,10,4,22,5,511,232,18,8
2003,MN0730600,12,7,0,0,0,0,9,6,453,217,16,7,38,8,409,206,6,3
2004,MN0730600,15,12,0,0,1,0,11,10,444,234,4,2,38,11,395,215,11,8
2005,MN0730600,20,13,0,0,6,2,10,9,500,247,3,2,44,10,437,225,19,12
2006,MN0730600,8,5,0,0,3,1,5,4,574,287,3,1,32,9,530,269,12,9
2007,MN0730600,16,13,0,0,4,2,12,11,507,302,6,1,44,6,454,292,9,4
2008,MN0730600,27,23,0,0,10,6,17,17,557,295,0,0,32,5,507,280,18,10
2009,MN0730600,30,15,0,0,5,2,15,8,567,328,0,0,28,3,525,322,14,3
2010,MN0730600,25,19,0,0,7,3,13,13,683,441,1,1,29,7,648,429,6,5
2011,MN0730600,28,19,0,0,7,3,15,12,787,471,1,0,44,3,727,465,16,3
2012,MN0730600,36,20,0,0,5,1,18,13,656,398,0,0,41,11,604,385,11,2
2013,MN0730600,22,19,0,0,6,4,10,10,735,467,1,1,44,11,666,441,25,15
2014,MN0730600,19,19,0,0,4,4,10,10,693,589,0,0,35,24,638,548,20,17
2015,MN0730600,27,24,0,0,6,4,11,10,709,526,1,0,54,35,642,481,13,10
2016,MN0730600,18,15,0,0,1,0,10,10,649,406,0,0,15,3,619,393,15,10
2017,MN0730600,21,19,1,1,4,4,14,13,589,361,0,0,34,5,543,346,12,10
2018,MN0730600,29,26,0,0,4,3,23,21,752,388,3,0,33,6,682,359,37,23
