Series,Year,Rate
1985,Male Officers,28
1985,Female Officers,3
1985,Male Civilians,4
1985,Female Civilians,8
1986,Male Officers,26
1986,Female Officers,4
1986,Male Civilians,4
1986,Female Civilians,8
1987,Male Officers,28
1987,Female Officers,2
1987,Male Civilians,5
1987,Female Civilians,10
1988,Male Officers,29
1988,Female Officers,2
1988,Male Civilians,4
1988,Female Civilians,10
1989,Male Officers,28
1989,Female Officers,1
1989,Male Civilians,3
1989,Female Civilians,12
1990,Male Officers,29
1990,Female Officers,2
1990,Male Civilians,3
1990,Female Civilians,12
1991,Male Officers,27
1991,Female Officers,1
1991,Male Civilians,5
1991,Female Civilians,14
1992,Male Officers,30
1992,Female Officers,1
1992,Male Civilians,4
1992,Female Civilians,12
1993,Male Officers,31
1993,Female Officers,1
1993,Male Civilians,3
1993,Female Civilians,10
1994,Male Officers,32
1994,Female Officers,2
1994,Male Civilians,2
1994,Female Civilians,11
1995,Male Officers,33
1995,Female Officers,1
1995,Male Civilians,1
1995,Female Civilians,19
1996,Male Officers,34
1996,Female Officers,1
1996,Male Civilians,1
1996,Female Civilians,8
1997,Male Officers,32
1997,Female Officers,2
1997,Male Civilians,1
1997,Female Civilians,8
1998,Male Officers,33
1998,Female Officers,3
1998,Male Civilians,1
1998,Female Civilians,8
1999,Male Officers,34
1999,Female Officers,3
1999,Male Civilians,1
1999,Female Civilians,8
2000,Male Officers,32
2000,Female Officers,4
2000,Male Civilians,2
2000,Female Civilians,10
2001,Male Officers,29
2001,Female Officers,4
2001,Male Civilians,3
2001,Female Civilians,9
2002,Male Officers,30
2002,Female Officers,4
2002,Male Civilians,3
2002,Female Civilians,9
2003,Male Officers,28
2003,Female Officers,4
2003,Male Civilians,3
2003,Female Civilians,9
2004,Male Officers,33
2004,Female Officers,4
2004,Male Civilians,5
2004,Female Civilians,8
2005,Male Officers,32
2005,Female Officers,4
2005,Male Civilians,4
2005,Female Civilians,9
2006,Male Officers,33
2006,Female Officers,4
2006,Male Civilians,4
2006,Female Civilians,9
2007,Male Officers,31
2007,Female Officers,4
2007,Male Civilians,4
2007,Female Civilians,9
2008,Male Officers,30
2008,Female Officers,3
2008,Male Civilians,3
2008,Female Civilians,6
2009,Male Officers,35
2009,Female Officers,3
2009,Male Civilians,4
2009,Female Civilians,6
2010,Male Officers,37
2010,Female Officers,3
2010,Male Civilians,3
2010,Female Civilians,6
2011,Male Officers,32
2011,Female Officers,3
2011,Male Civilians,3
2011,Female Civilians,7
2012,Male Officers,34
2012,Female Officers,4
2012,Male Civilians,4
2012,Female Civilians,6
2013,Male Officers,32
2013,Female Officers,5
2013,Male Civilians,4
2013,Female Civilians,6
2014,Male Officers,31
2014,Female Officers,4
2014,Male Civilians,4
2014,Female Civilians,7
2015,Male Officers,31
2015,Female Officers,5
2015,Male Civilians,3
2015,Female Civilians,8
2016,Male Officers,33
2016,Female Officers,4
2016,Male Civilians,3
2016,Female Civilians,8
2017,Male Officers,34
2017,Female Officers,3
2017,Male Civilians,4
2017,Female Civilians,8
2018,Male Officers,34
2018,Female Officers,5
2018,Male Civilians,4
2018,Female Civilians,7
