Label,Value,Year
Reported,10,1985
Cleared,9,1985
Reported,16,1986
Cleared,16,1986
Reported,10,1987
Cleared,8,1987
Reported,16,1988
Cleared,15,1988
Reported,27,1989
Cleared,17,1989
Reported,29,1990
Cleared,24,1990
Reported,36,1991
Cleared,23,1991
Reported,40,1992
Cleared,23,1992
Reported,40,1993
Cleared,24,1993
Reported,30,1994
Cleared,24,1994
Reported,22,1995
Cleared,23,1995
Reported,34,1996
Cleared,37,1996
Reported,39,1997
Cleared,36,1997
Reported,23,1998
Cleared,25,1998
Reported,18,1999
Cleared,19,1999
Reported,5,2000
Cleared,3,2000
Reported,15,2001
Cleared,10,2001
Reported,10,2002
Cleared,10,2002
Reported,18,2003
Cleared,17,2003
Reported,11,2004
Cleared,5,2004
Reported,24,2005
Cleared,20,2005
Reported,20,2006
Cleared,16,2006
Reported,36,2007
Cleared,30,2007
Reported,14,2008
Cleared,13,2008
Reported,14,2009
Cleared,0,2009
Reported,9,2010
Cleared,8,2010
Reported,7,2011
Cleared,5,2011
Reported,18,2012
Cleared,16,2012
Reported,8,2013
Cleared,5,2013
Reported,8,2014
Cleared,9,2014
Reported,8,2015
Cleared,6,2015
Reported,14,2016
Cleared,4,2016
Reported,21,2017
Cleared,10,2017
Reported,15,2018
Cleared,9,2018
