Label,Value,Year
Reported,102,1985
Cleared,23,1985
Reported,77,1986
Cleared,44,1986
Reported,116,1987
Cleared,27,1987
Reported,107,1988
Cleared,26,1988
Reported,112,1989
Cleared,33,1989
Reported,90,1990
Cleared,18,1990
Reported,97,1991
Cleared,33,1991
Reported,101,1992
Cleared,22,1992
Reported,71,1993
Cleared,7,1993
Reported,95,1994
Cleared,33,1994
Reported,49,1995
Cleared,16,1995
Reported,37,1996
Cleared,11,1996
Reported,36,1997
Cleared,17,1997
Reported,42,1998
Cleared,22,1998
Reported,31,1999
Cleared,15,1999
Reported,40,2000
Cleared,18,2000
Reported,58,2001
Cleared,27,2001
Reported,34,2002
Cleared,18,2002
Reported,56,2003
Cleared,16,2003
Reported,30,2004
Cleared,10,2004
Reported,46,2005
Cleared,14,2005
Reported,43,2006
Cleared,37,2006
Reported,50,2007
Cleared,18,2007
Reported,49,2008
Cleared,13,2008
Reported,44,2009
Cleared,0,2009
Reported,23,2010
Cleared,5,2010
Reported,58,2011
Cleared,8,2011
Reported,41,2012
Cleared,14,2012
Reported,52,2013
Cleared,12,2013
Reported,21,2014
Cleared,4,2014
Reported,29,2015
Cleared,9,2015
Reported,24,2016
Cleared,4,2016
Reported,24,2017
Cleared,2,2017
Reported,15,2018
Cleared,2,2018
