Label,Value,Year
Reported,308,1985
Cleared,85,1985
Reported,423,1986
Cleared,135,1986
Reported,566,1987
Cleared,158,1987
Reported,563,1988
Cleared,163,1988
Reported,566,1989
Cleared,170,1989
Reported,650,1990
Cleared,195,1990
Reported,779,1991
Cleared,248,1991
Reported,905,1992
Cleared,316,1992
Reported,1141,1993
Cleared,485,1993
Reported,1106,1994
Cleared,578,1994
Reported,1056,1995
Cleared,585,1995
Reported,1149,1996
Cleared,723,1996
Reported,1100,1997
Cleared,749,1997
Reported,1118,1998
Cleared,718,1998
Reported,872,1999
Cleared,512,1999
Reported,712,2000
Cleared,422,2000
Reported,620,2001
Cleared,317,2001
Reported,665,2002
Cleared,311,2002
Reported,815,2003
Cleared,372,2003
Reported,630,2004
Cleared,314,2004
Reported,487,2005
Cleared,245,2005
Reported,501,2006
Cleared,234,2006
Reported,633,2007
Cleared,306,2007
Reported,707,2008
Cleared,460,2008
Reported,654,2009
Cleared,0,2009
Reported,709,2010
Cleared,452,2010
Reported,728,2011
Cleared,457,2011
Reported,582,2012
Cleared,371,2012
Reported,524,2013
Cleared,280,2013
Reported,425,2014
Cleared,224,2014
Reported,502,2015
Cleared,250,2015
Reported,493,2016
Cleared,245,2016
Reported,420,2017
Cleared,198,2017
Reported,398,2018
Cleared,138,2018
