Label,Value,Year
Reported,48,1985
Cleared,9,1985
Reported,77,1986
Cleared,27,1986
Reported,62,1987
Cleared,13,1987
Reported,46,1988
Cleared,10,1988
Reported,70,1989
Cleared,12,1989
Reported,49,1990
Cleared,9,1990
Reported,95,1991
Cleared,24,1991
Reported,89,1992
Cleared,12,1992
Reported,89,1993
Cleared,13,1993
Reported,57,1994
Cleared,16,1994
Reported,42,1995
Cleared,8,1995
Reported,56,1996
Cleared,15,1996
Reported,58,1997
Cleared,28,1997
Reported,54,1998
Cleared,16,1998
Reported,37,1999
Cleared,13,1999
Reported,49,2000
Cleared,20,2000
Reported,75,2001
Cleared,23,2001
Reported,67,2002
Cleared,19,2002
Reported,97,2003
Cleared,27,2003
Reported,37,2004
Cleared,23,2004
Reported,28,2005
Cleared,5,2005
Reported,41,2006
Cleared,11,2006
Reported,37,2007
Cleared,13,2007
Reported,32,2008
Cleared,5,2008
Reported,39,2009
Cleared,0,2009
Reported,28,2010
Cleared,7,2010
Reported,15,2011
Cleared,6,2011
Reported,24,2012
Cleared,3,2012
Reported,10,2013
Cleared,0,2013
Reported,23,2014
Cleared,7,2014
Reported,26,2015
Cleared,6,2015
Reported,27,2016
Cleared,7,2016
Reported,35,2017
Cleared,8,2017
Reported,32,2018
Cleared,13,2018
