Label,Value,Year
Reported,458,1985
Cleared,117,1985
Reported,577,1986
Cleared,206,1986
Reported,744,1987
Cleared,198,1987
Reported,716,1988
Cleared,199,1988
Reported,748,1989
Cleared,215,1989
Reported,789,1990
Cleared,222,1990
Reported,971,1991
Cleared,305,1991
Reported,1095,1992
Cleared,350,1992
Reported,1301,1993
Cleared,505,1993
Reported,1258,1994
Cleared,627,1994
Reported,1147,1995
Cleared,609,1995
Reported,1242,1996
Cleared,749,1996
Reported,1194,1997
Cleared,794,1997
Reported,1214,1998
Cleared,756,1998
Reported,940,1999
Cleared,540,1999
Reported,801,2000
Cleared,460,2000
Reported,753,2001
Cleared,367,2001
Reported,766,2002
Cleared,348,2002
Reported,968,2003
Cleared,415,2003
Reported,697,2004
Cleared,347,2004
Reported,561,2005
Cleared,264,2005
Reported,585,2006
Cleared,282,2006
Reported,720,2007
Cleared,337,2007
Reported,788,2008
Cleared,478,2008
Reported,737,2009
Cleared,0,2009
Reported,760,2010
Cleared,464,2010
Reported,801,2011
Cleared,471,2011
Reported,647,2012
Cleared,388,2012
Reported,586,2013
Cleared,292,2013
Reported,469,2014
Cleared,235,2014
Reported,557,2015
Cleared,265,2015
Reported,544,2016
Cleared,256,2016
Reported,479,2017
Cleared,208,2017
Reported,445,2018
Cleared,153,2018
