Label,Value,Year
Reported,13,1985
Cleared,5,1985
Reported,20,1986
Cleared,8,1986
Reported,12,1987
Cleared,4,1987
Reported,17,1988
Cleared,10,1988
Reported,25,1989
Cleared,16,1989
Reported,18,1990
Cleared,12,1990
Reported,20,1991
Cleared,10,1991
Reported,34,1992
Cleared,10,1992
Reported,37,1993
Cleared,13,1993
Reported,21,1994
Cleared,7,1994
Reported,20,1995
Cleared,17,1995
Reported,18,1996
Cleared,18,1996
Reported,15,1997
Cleared,13,1997
Reported,6,1998
Cleared,2,1998
Reported,11,1999
Cleared,8,1999
Reported,12,2000
Cleared,6,2000
Reported,12,2001
Cleared,5,2001
Reported,11,2002
Cleared,5,2002
Reported,18,2003
Cleared,8,2003
Reported,12,2004
Cleared,5,2004
Reported,15,2005
Cleared,8,2005
Reported,6,2006
Cleared,3,2006
Reported,14,2007
Cleared,5,2007
Reported,12,2008
Cleared,4,2008
Reported,1,2009
Cleared,0,2009
Reported,10,2010
Cleared,4,2010
Reported,5,2011
Cleared,2,2011
Reported,14,2012
Cleared,6,2012
Reported,13,2013
Cleared,7,2013
Reported,9,2014
Cleared,1,2014
Reported,12,2015
Cleared,4,2015
Reported,9,2016
Cleared,3,2016
Reported,18,2017
Cleared,6,2017
Reported,5,2018
Cleared,2,2018
