year,ori,aggravated_assault_actual,aggravated_assault_cleared,arson_actual,arson_cleared,burglary_actual,burglary_cleared,homicide_actual,homicide_cleared,larceny_actual,larceny_cleared,motor_vehicle_theft_actual,motor_vehicle_theft_cleared,property_crime_actual,property_crime_cleared,robbery_actual,robbery_cleared,violent_crime_actual,violent_crime_cleared
1985,MO0956200,10,9,7,3,102,23,1,1,308,85,48,9,458,117,13,5,25,15
1986,MO0956200,16,16,3,1,77,44,0,0,423,135,77,27,577,206,20,8,40,25
1987,MO0956200,10,8,5,0,116,27,0,0,566,158,62,13,744,198,12,4,29,16
1988,MO0956200,16,15,0,0,107,26,0,0,563,163,46,10,716,199,17,10,37,30
1989,MO0956200,27,17,4,0,112,33,0,0,566,170,70,12,748,215,25,16,56,38
1990,MO0956200,29,24,5,2,90,18,0,0,650,195,49,9,789,222,18,12,51,40
1991,MO0956200,36,23,9,0,97,33,1,2,779,248,95,24,971,305,20,10,59,36
1992,MO0956200,40,23,2,0,101,22,1,1,905,316,89,12,1095,350,34,10,77,35
1993,MO0956200,40,24,1,0,71,7,0,0,1141,485,89,13,1301,505,37,13,79,38
1994,MO0956200,30,24,4,0,95,33,0,0,1106,578,57,16,1258,627,21,7,56,34
1995,MO0956200,22,23,5,3,49,16,3,2,1056,585,42,8,1147,609,20,17,45,43
1996,MO0956200,34,37,3,0,37,11,0,1,1149,723,56,15,1242,749,18,18,52,56
1997,MO0956200,39,36,1,0,36,17,0,0,1100,749,58,28,1194,794,15,13,56,50
1998,MO0956200,23,25,1,0,42,22,0,0,1118,718,54,16,1214,756,6,2,30,29
1999,MO0956200,18,19,0,0,31,15,0,0,872,512,37,13,940,540,11,8,30,27
2000,MO0956200,5,3,1,0,40,18,0,0,712,422,49,20,801,460,12,6,17,9
2001,MO0956200,15,10,0,0,58,27,0,0,620,317,75,23,753,367,12,5,33,19
2002,MO0956200,10,10,0,0,34,18,0,0,665,311,67,19,766,348,11,5,22,17
2003,MO0956200,18,17,1,1,56,16,0,0,815,372,97,27,968,415,18,8,36,25
2004,MO0956200,11,5,2,0,30,10,0,0,630,314,37,23,697,347,12,5,25,12
2005,MO0956200,24,20,1,0,46,14,0,0,487,245,28,5,561,264,15,8,41,29
2006,MO0956200,20,16,0,0,43,37,0,0,501,234,41,11,585,282,6,3,28,20
2007,MO0956200,36,30,2,0,50,18,0,0,633,306,37,13,720,337,14,5,54,37
2008,MO0956200,14,13,1,0,49,13,0,0,707,460,32,5,788,478,12,4,28,18
2009,MO0956200,14,0,1,1,44,0,1,0,654,0,39,0,737,0,1,0,21,0
2010,MO0956200,9,8,0,0,23,5,0,0,709,452,28,7,760,464,10,4,20,12
2011,MO0956200,7,5,0,0,58,8,1,0,728,457,15,6,801,471,5,2,14,9
2012,MO0956200,18,16,0,0,41,14,0,0,582,371,24,3,647,388,14,6,35,25
2013,MO0956200,8,5,0,0,52,12,0,0,524,280,10,0,586,292,13,7,23,14
2014,MO0956200,8,9,0,0,21,4,0,0,425,224,23,7,469,235,9,1,19,10
2015,MO0956200,8,6,0,0,29,9,0,0,502,250,26,6,557,265,12,4,21,11
2016,MO0956200,14,4,0,0,24,4,0,0,493,245,27,7,544,256,9,3,24,8
2017,MO0956200,21,10,1,0,24,2,1,1,420,198,35,8,479,208,18,6,43,18
2018,MO0956200,15,9,0,0,15,2,0,0,398,138,32,13,445,153,5,2,22,12
