Label,Value,Year
Reported,33,1985
Cleared,27,1985
Reported,25,1986
Cleared,13,1986
Reported,35,1987
Cleared,23,1987
Reported,19,1988
Cleared,15,1988
Reported,18,1989
Cleared,4,1989
Reported,14,1990
Cleared,4,1990
Reported,8,1991
Cleared,3,1991
Reported,11,1992
Cleared,0,1992
Reported,19,1993
Cleared,0,1993
Reported,20,1994
Cleared,2,1994
Reported,12,1995
Cleared,3,1995
Reported,60,1996
Cleared,15,1996
Reported,45,1997
Cleared,0,1997
Reported,35,1998
Cleared,6,1998
Reported,16,1999
Cleared,0,1999
Reported,23,2003
Cleared,0,2003
Reported,21,2004
Cleared,0,2004
Reported,25,2005
Cleared,0,2005
Reported,22,2006
Cleared,1,2006
Reported,11,2007
Cleared,0,2007
Reported,23,2008
Cleared,0,2008
Reported,53,2009
Cleared,3,2009
Reported,36,2010
Cleared,5,2010
Reported,18,2011
Cleared,1,2011
Reported,25,2012
Cleared,10,2012
Reported,23,2013
Cleared,0,2013
Reported,31,2014
Cleared,3,2014
Reported,39,2015
Cleared,14,2015
Reported,68,2016
Cleared,22,2016
Reported,65,2017
Cleared,12,2017
Reported,87,2018
Cleared,13,2018
