Label,Value,Year
Reported,239,1985
Cleared,74,1985
Reported,169,1986
Cleared,49,1986
Reported,282,1987
Cleared,106,1987
Reported,280,1988
Cleared,61,1988
Reported,152,1989
Cleared,21,1989
Reported,346,1990
Cleared,23,1990
Reported,398,1991
Cleared,38,1991
Reported,288,1992
Cleared,2,1992
Reported,289,1993
Cleared,0,1993
Reported,315,1994
Cleared,1,1994
Reported,244,1995
Cleared,2,1995
Reported,219,1996
Cleared,8,1996
Reported,275,1997
Cleared,0,1997
Reported,275,1998
Cleared,3,1998
Reported,237,1999
Cleared,0,1999
Reported,380,2003
Cleared,0,2003
Reported,254,2004
Cleared,0,2004
Reported,260,2005
Cleared,0,2005
Reported,297,2006
Cleared,1,2006
Reported,252,2007
Cleared,0,2007
Reported,209,2008
Cleared,0,2008
Reported,314,2009
Cleared,6,2009
Reported,311,2010
Cleared,5,2010
Reported,165,2011
Cleared,2,2011
Reported,230,2012
Cleared,7,2012
Reported,143,2013
Cleared,0,2013
Reported,209,2014
Cleared,5,2014
Reported,273,2015
Cleared,34,2015
Reported,158,2016
Cleared,12,2016
Reported,155,2017
Cleared,7,2017
Reported,198,2018
Cleared,7,2018
