Label,Value,Year
Reported,3,1985
Cleared,3,1985
Reported,4,1986
Cleared,2,1986
Reported,5,1987
Cleared,4,1987
Reported,4,1988
Cleared,3,1988
Reported,2,1989
Cleared,2,1989
Reported,1,1990
Cleared,1,1990
Reported,5,1991
Cleared,1,1991
Reported,3,1992
Cleared,0,1992
Reported,4,1993
Cleared,0,1993
Reported,7,1994
Cleared,0,1994
Reported,2,1995
Cleared,0,1995
Reported,2,1996
Cleared,2,1996
Reported,3,1997
Cleared,0,1997
Reported,2,1998
Cleared,0,1998
Reported,2,1999
Cleared,0,1999
Reported,3,2003
Cleared,0,2003
Reported,3,2004
Cleared,0,2004
Reported,1,2005
Cleared,0,2005
Reported,3,2006
Cleared,1,2006
Reported,2,2007
Cleared,0,2007
Reported,3,2008
Cleared,0,2008
Reported,1,2009
Cleared,0,2009
Reported,6,2010
Cleared,2,2010
Reported,2,2011
Cleared,0,2011
Reported,3,2012
Cleared,1,2012
Reported,3,2013
Cleared,2,2013
Reported,2,2014
Cleared,2,2014
Reported,1,2015
Cleared,0,2015
Reported,2,2016
Cleared,1,2016
Reported,2,2017
Cleared,0,2017
Reported,4,2018
Cleared,3,2018
