Label,Value,Year
Reported,157,1985
Cleared,49,1985
Reported,171,1986
Cleared,62,1986
Reported,226,1987
Cleared,51,1987
Reported,198,1988
Cleared,28,1988
Reported,118,1989
Cleared,12,1989
Reported,199,1990
Cleared,20,1990
Reported,241,1991
Cleared,24,1991
Reported,270,1992
Cleared,1,1992
Reported,301,1993
Cleared,0,1993
Reported,309,1994
Cleared,0,1994
Reported,263,1995
Cleared,5,1995
Reported,261,1996
Cleared,11,1996
Reported,325,1997
Cleared,0,1997
Reported,296,1998
Cleared,1,1998
Reported,218,1999
Cleared,0,1999
Reported,417,2003
Cleared,0,2003
Reported,364,2004
Cleared,0,2004
Reported,378,2005
Cleared,0,2005
Reported,420,2006
Cleared,1,2006
Reported,190,2007
Cleared,0,2007
Reported,197,2008
Cleared,0,2008
Reported,614,2009
Cleared,31,2009
Reported,528,2010
Cleared,13,2010
Reported,206,2011
Cleared,11,2011
Reported,183,2012
Cleared,8,2012
Reported,154,2013
Cleared,2,2013
Reported,197,2014
Cleared,3,2014
Reported,176,2015
Cleared,36,2015
Reported,181,2016
Cleared,28,2016
Reported,175,2017
Cleared,39,2017
Reported,198,2018
Cleared,10,2018
