Label,Value,Year
Reported,419,1985
Cleared,145,1985
Reported,359,1986
Cleared,131,1986
Reported,537,1987
Cleared,177,1987
Reported,524,1988
Cleared,106,1988
Reported,290,1989
Cleared,37,1989
Reported,585,1990
Cleared,50,1990
Reported,679,1991
Cleared,68,1991
Reported,597,1992
Cleared,3,1992
Reported,636,1993
Cleared,0,1993
Reported,674,1994
Cleared,1,1994
Reported,568,1995
Cleared,9,1995
Reported,540,1996
Cleared,20,1996
Reported,668,1997
Cleared,0,1997
Reported,643,1998
Cleared,6,1998
Reported,507,1999
Cleared,0,1999
Reported,925,2003
Cleared,0,2003
Reported,754,2004
Cleared,0,2004
Reported,748,2005
Cleared,0,2005
Reported,843,2006
Cleared,2,2006
Reported,503,2007
Cleared,0,2007
Reported,464,2008
Cleared,0,2008
Reported,1052,2009
Cleared,45,2009
Reported,992,2010
Cleared,24,2010
Reported,448,2011
Cleared,16,2011
Reported,469,2012
Cleared,16,2012
Reported,377,2013
Cleared,2,2013
Reported,448,2014
Cleared,8,2014
Reported,491,2015
Cleared,75,2015
Reported,406,2016
Cleared,46,2016
Reported,389,2017
Cleared,53,2017
Reported,454,2018
Cleared,20,2018
