Label,Value,Year
Reported,8,1985
Cleared,8,1985
Reported,7,1986
Cleared,7,1986
Reported,8,1987
Cleared,4,1987
Reported,11,1988
Cleared,1,1988
Reported,6,1989
Cleared,1,1989
Reported,5,1990
Cleared,2,1990
Reported,6,1991
Cleared,0,1991
Reported,8,1992
Cleared,2,1992
Reported,5,1993
Cleared,0,1993
Reported,3,1994
Cleared,0,1994
Reported,10,1995
Cleared,0,1995
Reported,14,1996
Cleared,0,1996
Reported,28,1997
Cleared,0,1997
Reported,10,1998
Cleared,0,1998
Reported,12,1999
Cleared,0,1999
Reported,17,2003
Cleared,0,2003
Reported,15,2004
Cleared,0,2004
Reported,17,2005
Cleared,0,2005
Reported,21,2006
Cleared,0,2006
Reported,13,2007
Cleared,0,2007
Reported,26,2008
Cleared,0,2008
Reported,25,2009
Cleared,1,2009
Reported,18,2010
Cleared,0,2010
Reported,4,2011
Cleared,0,2011
Reported,5,2012
Cleared,0,2012
Reported,9,2013
Cleared,0,2013
Reported,1,2014
Cleared,0,2014
Reported,2,2015
Cleared,2,2015
Reported,8,2016
Cleared,1,2016
Reported,11,2017
Cleared,2,2017
Reported,5,2018
Cleared,0,2018
