year,ori,violent_crime_actual,violent_crime_cleared,homicide_actual,homicide_cleared,robbery_actual,robbery_cleared,aggravated_assault_actual,aggravated_assault_cleared,property_crime_actual,property_crime_cleared,arson_actual,arson_cleared,burglary_actual,burglary_cleared,larceny_actual,larceny_cleared,motor_vehicle_theft_actual,motor_vehicle_theft_cleared
1985,MS0250000,52,44,3,3,8,8,33,27,419,145,0,0,239,74,157,49,23,22
1986,MS0250000,41,26,4,2,7,7,25,13,359,131,3,1,169,49,171,62,19,20
1987,MS0250000,64,42,5,4,8,4,35,23,537,177,4,1,282,106,226,51,29,20
1988,MS0250000,43,21,4,3,11,1,19,15,524,106,1,1,280,61,198,28,46,17
1989,MS0250000,28,7,2,2,6,1,18,4,290,37,2,1,152,21,118,12,20,4
1990,MS0250000,22,7,1,1,5,2,14,4,585,50,4,0,346,23,199,20,40,7
1991,MS0250000,20,4,5,1,6,0,8,3,679,68,2,0,398,38,241,24,40,6
1992,MS0250000,25,2,3,0,8,2,11,0,597,3,6,0,288,2,270,1,39,0
1993,MS0250000,32,0,4,0,5,0,19,0,636,0,9,0,289,0,301,0,46,0
1994,MS0250000,34,2,7,0,3,0,20,2,674,1,3,0,315,1,309,0,50,0
1995,MS0250000,33,4,2,0,10,0,12,3,568,9,0,0,244,2,263,5,61,2
1996,MS0250000,81,18,2,2,14,0,60,15,540,20,2,0,219,8,261,11,60,1
1997,MS0250000,81,0,3,0,28,0,45,0,668,0,4,1,275,0,325,0,68,0
1998,MS0250000,49,6,2,0,10,0,35,6,643,6,2,0,275,3,296,1,72,2
1999,MS0250000,35,0,2,0,12,0,16,0,507,0,6,0,237,0,218,0,52,0
2003,MS0250000,48,0,3,0,17,0,23,0,925,0,10,0,380,0,417,0,128,0
2004,MS0250000,57,0,3,0,15,0,21,0,754,0,2,0,254,0,364,0,136,0
2005,MS0250000,55,0,1,0,17,0,25,0,748,0,1,0,260,0,378,0,110,0
2006,MS0250000,60,2,3,1,21,0,22,1,843,2,0,0,297,1,420,1,126,0
2007,MS0250000,28,0,2,0,13,0,11,0,503,0,0,0,252,0,190,0,61,0
2008,MS0250000,61,0,3,0,26,0,23,0,464,0,0,0,209,0,197,0,58,0
2009,MS0250000,98,5,1,0,25,1,53,3,1052,45,0,0,314,6,614,31,124,8
2010,MS0250000,69,7,6,2,18,0,36,5,992,24,0,0,311,5,528,13,153,6
2011,MS0250000,30,1,2,0,4,0,18,1,448,16,0,0,165,2,206,11,77,3
2012,MS0250000,34,11,3,1,5,0,25,10,469,16,5,2,230,7,183,8,56,1
2013,MS0250000,36,2,3,2,9,0,23,0,377,2,0,0,143,0,154,2,80,0
2014,MS0250000,35,5,2,2,1,0,31,3,448,8,6,0,209,5,197,3,42,0
2015,MS0250000,45,16,1,0,2,2,39,14,491,75,0,0,273,34,176,36,42,5
2016,MS0250000,89,24,2,1,8,1,68,22,406,46,0,0,158,12,181,28,67,6
2017,MS0250000,83,14,2,0,11,2,65,12,389,53,0,0,155,7,175,39,59,7
2018,MS0250000,101,16,4,3,5,0,87,13,454,20,0,0,198,7,198,10,58,3
