Series,Year,Rate
1985,Male Officers,32
1985,Female Officers,1
1985,Male Civilians,1
1985,Female Civilians,9
1986,Male Officers,32
1986,Female Officers,1
1986,Male Civilians,1
1986,Female Civilians,10
1987,Male Officers,34
1987,Female Officers,1
1987,Male Civilians,1
1987,Female Civilians,10
1988,Male Officers,33
1988,Female Officers,2
1988,Male Civilians,1
1988,Female Civilians,2
1989,Male Officers,32
1989,Female Officers,2
1989,Male Civilians,0
1989,Female Civilians,3
1990,Male Officers,34
1990,Female Officers,2
1990,Male Civilians,1
1990,Female Civilians,2
1991,Male Officers,34
1991,Female Officers,2
1991,Male Civilians,1
1991,Female Civilians,4
1992,Male Officers,36
1992,Female Officers,2
1992,Male Civilians,4
1992,Female Civilians,11
1993,Male Officers,40
1993,Female Officers,2
1993,Male Civilians,2
1993,Female Civilians,16
1994,Male Officers,40
1994,Female Officers,3
1994,Male Civilians,1
1994,Female Civilians,16
1995,Male Officers,39
1995,Female Officers,3
1995,Male Civilians,2
1995,Female Civilians,14
1996,Male Officers,39
1996,Female Officers,3
1996,Male Civilians,4
1996,Female Civilians,14
1997,Male Officers,41
1997,Female Officers,3
1997,Male Civilians,14
1997,Female Civilians,15
1998,Male Officers,43
1998,Female Officers,3
1998,Male Civilians,3
1998,Female Civilians,18
1999,Male Officers,46
1999,Female Officers,4
1999,Male Civilians,3
1999,Female Civilians,18
2000,Male Officers,44
2000,Female Officers,3
2000,Male Civilians,3
2000,Female Civilians,16
2001,Male Officers,43
2001,Female Officers,4
2001,Male Civilians,3
2001,Female Civilians,16
2002,Male Officers,44
2002,Female Officers,6
2002,Male Civilians,4
2002,Female Civilians,17
2003,Male Officers,44
2003,Female Officers,4
2003,Male Civilians,6
2003,Female Civilians,15
2004,Male Officers,49
2004,Female Officers,4
2004,Male Civilians,4
2004,Female Civilians,16
2005,Male Officers,42
2005,Female Officers,4
2005,Male Civilians,8
2005,Female Civilians,14
2006,Male Officers,45
2006,Female Officers,5
2006,Male Civilians,8
2006,Female Civilians,13
2007,Male Officers,50
2007,Female Officers,3
2007,Male Civilians,7
2007,Female Civilians,15
2008,Male Officers,51
2008,Female Officers,2
2008,Male Civilians,8
2008,Female Civilians,14
2009,Male Officers,50
2009,Female Officers,3
2009,Male Civilians,7
2009,Female Civilians,14
2010,Male Officers,47
2010,Female Officers,3
2010,Male Civilians,8
2010,Female Civilians,15
2011,Male Officers,46
2011,Female Officers,2
2011,Male Civilians,5
2011,Female Civilians,14
2012,Male Officers,51
2012,Female Officers,1
2012,Male Civilians,3
2012,Female Civilians,5
2013,Male Officers,50
2013,Female Officers,1
2013,Male Civilians,9
2013,Female Civilians,13
2014,Male Officers,48
2014,Female Officers,2
2014,Male Civilians,10
2014,Female Civilians,14
2015,Male Officers,48
2015,Female Officers,3
2015,Male Civilians,10
2015,Female Civilians,16
2016,Male Officers,44
2016,Female Officers,4
2016,Male Civilians,9
2016,Female Civilians,13
2017,Male Officers,47
2017,Female Officers,7
2017,Male Civilians,7
2017,Female Civilians,13
2018,Male Officers,45
2018,Female Officers,7
2018,Male Civilians,6
2018,Female Civilians,19
