Label,Value,Year
Reported,1,1985
Cleared,0,1985
Reported,0,1986
Cleared,0,1986
Reported,2,1987
Cleared,1,1987
Reported,2,1988
Cleared,2,1988
Reported,3,1989
Cleared,3,1989
Reported,6,1990
Cleared,3,1990
Reported,1,1991
Cleared,0,1991
Reported,2,1992
Cleared,1,1992
Reported,1,1993
Cleared,1,1993
Reported,6,1994
Cleared,5,1994
Reported,3,1995
Cleared,1,1995
Reported,2,1996
Cleared,2,1996
Reported,5,1997
Cleared,5,1997
Reported,4,1998
Cleared,4,1998
Reported,4,1999
Cleared,3,1999
Reported,6,2000
Cleared,5,2000
Reported,1,2001
Cleared,0,2001
Reported,3,2002
Cleared,3,2002
Reported,2,2003
Cleared,1,2003
Reported,10,2004
Cleared,9,2004
Reported,2,2005
Cleared,2,2005
Reported,6,2006
Cleared,6,2006
Reported,6,2007
Cleared,2,2007
Reported,4,2008
Cleared,3,2008
Reported,7,2009
Cleared,4,2009
Reported,9,2010
Cleared,8,2010
Reported,5,2011
Cleared,5,2011
Reported,3,2012
Cleared,2,2012
Reported,2,2013
Cleared,2,2013
Reported,6,2014
Cleared,5,2014
Reported,3,2015
Cleared,3,2015
Reported,13,2016
Cleared,13,2016
Reported,7,2017
Cleared,7,2017
Reported,6,2018
Cleared,6,2018
