Label,Value,Year
Reported,50,1985
Cleared,0,1985
Reported,36,1986
Cleared,4,1986
Reported,48,1987
Cleared,6,1987
Reported,41,1988
Cleared,4,1988
Reported,42,1989
Cleared,7,1989
Reported,65,1990
Cleared,7,1990
Reported,53,1991
Cleared,2,1991
Reported,51,1992
Cleared,1,1992
Reported,41,1993
Cleared,3,1993
Reported,45,1994
Cleared,15,1994
Reported,52,1995
Cleared,10,1995
Reported,49,1996
Cleared,3,1996
Reported,42,1997
Cleared,4,1997
Reported,72,1998
Cleared,7,1998
Reported,39,1999
Cleared,4,1999
Reported,36,2000
Cleared,2,2000
Reported,14,2001
Cleared,2,2001
Reported,43,2002
Cleared,3,2002
Reported,27,2003
Cleared,1,2003
Reported,23,2004
Cleared,3,2004
Reported,55,2005
Cleared,9,2005
Reported,66,2006
Cleared,3,2006
Reported,49,2007
Cleared,3,2007
Reported,52,2008
Cleared,5,2008
Reported,15,2009
Cleared,0,2009
Reported,39,2010
Cleared,1,2010
Reported,31,2011
Cleared,4,2011
Reported,19,2012
Cleared,4,2012
Reported,14,2013
Cleared,0,2013
Reported,16,2014
Cleared,1,2014
Reported,12,2015
Cleared,0,2015
Reported,12,2016
Cleared,4,2016
Reported,19,2017
Cleared,1,2017
Reported,15,2018
Cleared,2,2018
