Label,Value,Year
Reported,131,1985
Cleared,2,1985
Reported,126,1986
Cleared,8,1986
Reported,131,1987
Cleared,12,1987
Reported,138,1988
Cleared,9,1988
Reported,143,1989
Cleared,17,1989
Reported,175,1990
Cleared,30,1990
Reported,182,1991
Cleared,16,1991
Reported,172,1992
Cleared,16,1992
Reported,177,1993
Cleared,18,1993
Reported,184,1994
Cleared,25,1994
Reported,216,1995
Cleared,21,1995
Reported,175,1996
Cleared,11,1996
Reported,189,1997
Cleared,23,1997
Reported,206,1998
Cleared,20,1998
Reported,172,1999
Cleared,20,1999
Reported,168,2000
Cleared,7,2000
Reported,43,2001
Cleared,7,2001
Reported,185,2002
Cleared,10,2002
Reported,162,2003
Cleared,8,2003
Reported,169,2004
Cleared,15,2004
Reported,221,2005
Cleared,28,2005
Reported,229,2006
Cleared,19,2006
Reported,248,2007
Cleared,14,2007
Reported,164,2008
Cleared,16,2008
Reported,117,2009
Cleared,8,2009
Reported,130,2010
Cleared,8,2010
Reported,134,2011
Cleared,8,2011
Reported,152,2012
Cleared,15,2012
Reported,106,2013
Cleared,9,2013
Reported,84,2014
Cleared,10,2014
Reported,61,2015
Cleared,6,2015
Reported,82,2016
Cleared,16,2016
Reported,128,2017
Cleared,17,2017
Reported,95,2018
Cleared,14,2018
