Label,Value,Year
Legacy Rape Reported,1,1987
Legacy Rape Reported,1,1988
Legacy Rape Cleared,1,1988
Legacy Rape Reported,2,1989
Legacy Rape Cleared,2,1989
Legacy Rape Reported,3,1990
Legacy Rape Cleared,1,1990
Legacy Rape Reported,3,1991
Legacy Rape Cleared,2,1991
Legacy Rape Reported,3,1992
Legacy Rape Cleared,1,1992
Legacy Rape Reported,1,1993
Legacy Rape Reported,1,1995
Legacy Rape Cleared,1,1995
Legacy Rape Reported,1,1996
Legacy Rape Cleared,1,1996
Legacy Rape Reported,1,1997
Legacy Rape Cleared,1,1997
Legacy Rape Reported,4,2002
Legacy Rape Cleared,2,2002
Legacy Rape Reported,1,2003
Legacy Rape Reported,2,2004
Legacy Rape Reported,2,2005
Legacy Rape Cleared,1,2005
Legacy Rape Reported,1,2006
Legacy Rape Reported,2,2008
Legacy Rape Reported,6,2009
Legacy Rape Cleared,6,2009
Legacy Rape Reported,7,2010
Legacy Rape Cleared,2,2010
Legacy Rape Reported,1,2011
Revised Rape Reported,1,2013
Revised Rape Reported,1,2015
Revised Rape Reported,2,2016
Revised Rape Cleared,2,2016
Revised Rape Reported,5,2017
Revised Rape Cleared,1,2017
Revised Rape Reported,2,2018
