Label,Value,Year
Reported,1,1985
Cleared,0,1985
Reported,0,1986
Cleared,0,1986
Reported,4,1987
Cleared,1,1987
Reported,3,1988
Cleared,3,1988
Reported,5,1989
Cleared,5,1989
Reported,10,1990
Cleared,5,1990
Reported,5,1991
Cleared,3,1991
Reported,5,1992
Cleared,2,1992
Reported,2,1993
Cleared,1,1993
Reported,7,1994
Cleared,5,1994
Reported,4,1995
Cleared,2,1995
Reported,3,1996
Cleared,3,1996
Reported,7,1997
Cleared,7,1997
Reported,4,1998
Cleared,4,1998
Reported,7,1999
Cleared,4,1999
Reported,6,2000
Cleared,5,2000
Reported,1,2001
Cleared,0,2001
Reported,9,2002
Cleared,6,2002
Reported,3,2003
Cleared,1,2003
Reported,12,2004
Cleared,9,2004
Reported,5,2005
Cleared,4,2005
Reported,7,2006
Cleared,6,2006
Reported,6,2007
Cleared,2,2007
Reported,6,2008
Cleared,3,2008
Reported,13,2009
Cleared,10,2009
Reported,17,2010
Cleared,10,2010
Reported,8,2011
Cleared,6,2011
Reported,3,2012
Cleared,2,2012
Reported,3,2013
Cleared,2,2013
Reported,6,2014
Cleared,5,2014
Reported,4,2015
Cleared,3,2015
Reported,15,2016
Cleared,15,2016
Reported,17,2017
Cleared,9,2017
Reported,9,2018
Cleared,6,2018
