year,ori,violent_crime_actual,violent_crime_cleared,homicide_actual,homicide_cleared,robbery_actual,robbery_cleared,aggravated_assault_actual,aggravated_assault_cleared,property_crime_actual,property_crime_cleared,arson_actual,arson_cleared,burglary_actual,burglary_cleared,larceny_actual,larceny_cleared,motor_vehicle_theft_actual,motor_vehicle_theft_cleared
1985,NB0710000,1,0,0,0,0,0,1,0,131,2,3,1,50,0,76,1,5,1
1986,NB0710000,0,0,0,0,0,0,0,0,126,8,1,0,36,4,82,3,8,1
1987,NB0710000,4,1,0,0,1,0,2,1,131,12,0,0,48,6,75,3,8,3
1988,NB0710000,3,3,0,0,0,0,2,2,138,9,2,1,41,4,90,1,7,4
1989,NB0710000,5,5,0,0,0,0,3,3,143,17,3,1,42,7,98,8,3,2
1990,NB0710000,10,5,1,1,0,0,6,3,175,30,6,1,65,7,95,14,15,9
1991,NB0710000,5,3,1,1,0,0,1,0,182,16,0,0,53,2,115,10,14,4
1992,NB0710000,5,2,0,0,0,0,2,1,172,16,0,0,51,1,111,13,10,2
1993,NB0710000,2,1,0,0,0,0,1,1,177,18,5,0,41,3,127,13,9,2
1994,NB0710000,7,5,0,0,1,0,6,5,184,25,1,0,45,15,118,7,21,3
1995,NB0710000,4,2,0,0,0,0,3,1,216,21,0,0,52,10,138,5,26,6
1996,NB0710000,3,3,0,0,0,0,2,2,175,11,0,0,49,3,117,7,9,1
1997,NB0710000,7,7,0,0,1,1,5,5,189,23,1,0,42,4,131,14,16,5
1998,NB0710000,4,4,0,0,0,0,4,4,206,20,0,0,72,7,121,11,13,2
1999,NB0710000,7,4,0,0,3,1,4,3,172,20,2,0,39,4,118,9,15,7
2000,NB0710000,6,5,0,0,0,0,6,5,168,7,0,0,36,2,116,4,16,1
2001,NB0710000,1,0,0,0,0,0,1,0,43,7,0,0,14,2,25,4,4,1
2002,NB0710000,9,6,0,0,2,1,3,3,185,10,1,0,43,3,125,5,17,2
2003,NB0710000,3,1,0,0,0,0,2,1,162,8,0,0,27,1,120,4,15,3
2004,NB0710000,12,9,0,0,0,0,10,9,169,15,0,0,23,3,137,7,9,5
2005,NB0710000,5,4,0,0,1,1,2,2,221,28,0,0,55,9,147,13,19,6
2006,NB0710000,7,6,0,0,0,0,6,6,229,19,1,0,66,3,146,12,17,4
2007,NB0710000,6,2,0,0,0,0,6,2,248,14,0,0,49,3,187,10,12,1
2008,NB0710000,6,3,0,0,0,0,4,3,164,16,1,0,52,5,104,9,8,2
2009,NB0710000,13,10,0,0,0,0,7,4,117,8,1,0,15,0,89,4,13,4
2010,NB0710000,17,10,0,0,1,0,9,8,130,8,0,0,39,1,86,7,5,0
2011,NB0710000,8,6,0,0,2,1,5,5,134,8,1,0,31,4,96,3,7,1
2012,NB0710000,3,2,0,0,0,0,3,2,152,15,1,0,19,4,123,8,10,3
2013,NB0710000,3,2,0,0,0,0,2,2,106,9,1,0,14,0,82,8,10,1
2014,NB0710000,6,5,0,0,0,0,6,5,84,10,0,0,16,1,59,7,9,2
2015,NB0710000,4,3,0,0,0,0,3,3,61,6,1,0,12,0,43,3,6,3
2016,NB0710000,15,15,0,0,0,0,13,13,82,16,0,0,12,4,63,9,7,3
2017,NB0710000,17,9,0,0,0,0,7,7,128,17,1,0,19,1,94,9,15,7
2018,NB0710000,9,6,0,0,0,0,6,6,95,14,2,1,15,2,71,10,9,2
