Label,Value,Year
Reported,3,1985
Cleared,1,1985
Reported,2,1986
Cleared,1,1986
Reported,5,1987
Cleared,5,1987
Reported,1,1988
Cleared,1,1988
Reported,2,1989
Cleared,1,1989
Reported,4,1990
Cleared,2,1990
Reported,4,1991
Cleared,3,1991
Reported,4,1992
Cleared,3,1992
Reported,3,1993
Cleared,3,1993
Reported,3,1994
Cleared,1,1994
Reported,4,1995
Cleared,4,1995
Reported,4,1996
Cleared,3,1996
Reported,2,1997
Cleared,2,1997
Reported,8,1998
Cleared,7,1998
Reported,4,2000
Cleared,1,2000
Reported,4,2002
Cleared,4,2002
Reported,0,2008
Cleared,0,2008
Reported,4,2014
Cleared,2,2014
Reported,3,2015
Cleared,2,2015
Reported,3,2016
Cleared,0,2016
Reported,10,2017
Cleared,5,2017
Reported,2,2018
Cleared,0,2018
