Label,Value,Year
Reported,22,1985
Cleared,22,1985
Reported,36,1986
Cleared,35,1986
Reported,20,1987
Cleared,19,1987
Reported,27,1988
Cleared,23,1988
Reported,30,1989
Cleared,30,1989
Reported,31,1990
Cleared,29,1990
Reported,4,1991
Cleared,4,1991
Reported,2,1992
Cleared,2,1992
Reported,5,1993
Cleared,5,1993
Reported,3,1994
Cleared,3,1994
Reported,9,1995
Cleared,9,1995
Reported,5,1996
Cleared,5,1996
Reported,9,1997
Cleared,9,1997
Reported,8,1998
Cleared,8,1998
Reported,6,2000
Cleared,4,2000
Reported,9,2002
Cleared,9,2002
Reported,1,2008
Cleared,0,2008
Reported,10,2014
Cleared,8,2014
Reported,6,2015
Cleared,3,2015
Reported,13,2016
Cleared,10,2016
Reported,11,2017
Cleared,10,2017
Reported,5,2018
Cleared,4,2018
