year,ori,violent_crime_actual,violent_crime_cleared,homicide_actual,homicide_cleared,robbery_actual,robbery_cleared,aggravated_assault_actual,aggravated_assault_cleared,property_crime_actual,property_crime_cleared,arson_actual,arson_cleared,burglary_actual,burglary_cleared,larceny_actual,larceny_cleared,motor_vehicle_theft_actual,motor_vehicle_theft_cleared
1985,NC0030000,22,22,1,1,0,0,21,21,79,17,1,1,32,8,44,8,3,1
1986,NC0030000,36,35,0,0,1,0,34,34,81,40,1,0,29,10,50,29,2,1
1987,NC0030000,20,19,0,0,0,0,20,19,56,11,0,0,11,1,40,5,5,5
1988,NC0030000,27,23,0,0,0,0,26,23,67,16,1,1,24,5,42,10,1,1
1989,NC0030000,30,30,1,1,0,0,28,28,96,21,1,1,40,8,54,12,2,1
1990,NC0030000,31,29,0,0,0,0,30,28,79,24,0,0,37,7,38,15,4,2
1991,NC0030000,4,4,3,3,0,0,1,1,94,16,0,0,40,7,50,6,4,3
1992,NC0030000,2,2,0,0,0,0,1,1,46,14,0,0,18,5,24,6,4,3
1993,NC0030000,5,5,0,0,0,0,4,4,37,16,0,0,16,7,18,6,3,3
1994,NC0030000,3,3,0,0,0,0,2,2,49,12,0,0,23,3,23,8,3,1
1995,NC0030000,9,9,1,1,0,0,8,8,40,22,0,0,26,13,10,5,4,4
1996,NC0030000,5,5,0,0,0,0,4,4,40,18,1,0,21,4,15,11,4,3
1997,NC0030000,9,9,0,0,0,0,6,6,45,33,0,0,27,23,16,8,2,2
1998,NC0030000,8,8,0,0,0,0,8,8,53,27,0,0,34,14,11,6,8,7
2000,NC0030000,6,4,0,0,1,0,5,4,42,7,0,0,17,3,21,3,4,1
2002,NC0030000,9,9,1,1,0,0,8,8,85,24,0,0,49,11,32,9,4,4
2008,NC0030000,1,0,0,0,1,0,0,0,28,7,0,0,2,0,26,7,0,0
2014,NC0030000,10,8,1,1,0,0,7,6,127,32,1,1,46,10,77,20,4,2
2015,NC0030000,6,3,0,0,0,0,2,1,102,16,0,0,51,8,48,6,3,2
2016,NC0030000,13,10,0,0,0,0,10,8,89,18,0,0,34,8,52,10,3,0
2017,NC0030000,11,10,0,0,0,0,9,8,88,30,3,0,25,7,53,18,10,5
2018,NC0030000,5,4,0,0,0,0,3,3,33,9,2,0,10,3,21,6,2,0
