Series,Year,Rate
1985,Male Officers,259
1985,Female Officers,16
1985,Male Civilians,26
1985,Female Civilians,29
1986,Male Officers,267
1986,Female Officers,23
1986,Male Civilians,29
1986,Female Civilians,32
1987,Male Officers,250
1987,Female Officers,22
1987,Male Civilians,44
1987,Female Civilians,40
1988,Male Officers,259
1988,Female Officers,27
1988,Male Civilians,31
1988,Female Civilians,42
1989,Male Officers,257
1989,Female Officers,28
1989,Male Civilians,32
1989,Female Civilians,48
1990,Male Officers,254
1990,Female Officers,27
1990,Male Civilians,32
1990,Female Civilians,51
1991,Male Officers,263
1991,Female Officers,27
1991,Male Civilians,31
1991,Female Civilians,57
1992,Male Officers,269
1992,Female Officers,29
1992,Male Civilians,13
1992,Female Civilians,39
1993,Male Officers,268
1993,Female Officers,29
1993,Male Civilians,13
1993,Female Civilians,42
1994,Male Officers,300
1994,Female Officers,41
1994,Male Civilians,14
1994,Female Civilians,45
1995,Male Officers,309
1995,Female Officers,44
1995,Male Civilians,9
1995,Female Civilians,39
1996,Male Officers,308
1996,Female Officers,46
1996,Male Civilians,11
1996,Female Civilians,48
1997,Male Officers,333
1997,Female Officers,46
1997,Male Civilians,10
1997,Female Civilians,49
1998,Male Officers,336
1998,Female Officers,45
1998,Male Civilians,24
1998,Female Civilians,58
1999,Male Officers,407
1999,Female Officers,60
1999,Male Civilians,21
1999,Female Civilians,62
2000,Male Officers,401
2000,Female Officers,66
2000,Male Civilians,25
2000,Female Civilians,63
2001,Male Officers,399
2001,Female Officers,66
2001,Male Civilians,23
2001,Female Civilians,63
2002,Male Officers,384
2002,Female Officers,60
2002,Male Civilians,38
2002,Female Civilians,67
2003,Male Officers,384
2003,Female Officers,61
2003,Male Civilians,21
2003,Female Civilians,65
2004,Male Officers,356
2004,Female Officers,56
2004,Male Civilians,63
2004,Female Civilians,71
2005,Male Officers,377
2005,Female Officers,58
2005,Male Civilians,66
2005,Female Civilians,82
2006,Male Officers,389
2006,Female Officers,69
2006,Male Civilians,61
2006,Female Civilians,80
2007,Male Officers,406
2007,Female Officers,68
2007,Male Civilians,46
2007,Female Civilians,88
2008,Male Officers,384
2008,Female Officers,66
2008,Male Civilians,48
2008,Female Civilians,86
2009,Male Officers,392
2009,Female Officers,68
2009,Male Civilians,51
2009,Female Civilians,97
2010,Male Officers,417
2010,Female Officers,68
2010,Male Civilians,24
2010,Female Civilians,89
2011,Male Officers,406
2011,Female Officers,70
2011,Male Civilians,51
2011,Female Civilians,91
2012,Male Officers,451
2012,Female Officers,86
2012,Male Civilians,32
2012,Female Civilians,96
2013,Male Officers,439
2013,Female Officers,78
2013,Male Civilians,23
2013,Female Civilians,81
2014,Male Officers,425
2014,Female Officers,76
2014,Male Civilians,29
2014,Female Civilians,84
2015,Male Officers,440
2015,Female Officers,72
2015,Male Civilians,45
2015,Female Civilians,139
2016,Male Officers,421
2016,Female Officers,69
2016,Male Civilians,54
2016,Female Civilians,135
2017,Male Officers,424
2017,Female Officers,81
2017,Male Civilians,49
2017,Female Civilians,123
2018,Male Officers,440
2018,Female Officers,90
2018,Male Civilians,29
2018,Female Civilians,82
