Label,Value,Year
Reported,16,1985
Cleared,1,1985
Reported,10,1986
Cleared,1,1986
Reported,27,1987
Cleared,5,1987
Reported,36,1988
Cleared,6,1988
Reported,50,1989
Cleared,7,1989
Reported,60,1990
Cleared,5,1990
Reported,28,1991
Cleared,6,1991
Reported,14,1992
Cleared,3,1992
Reported,31,1993
Cleared,8,1993
Reported,25,1994
Cleared,5,1994
Reported,15,1995
Cleared,1,1995
Reported,27,1996
Cleared,5,1996
Reported,13,1997
Cleared,1,1997
Reported,17,1998
Cleared,1,1998
Reported,21,1999
Cleared,6,1999
Reported,24,2000
Cleared,4,2000
Reported,23,2001
Cleared,5,2001
Reported,28,2002
Cleared,2,2002
Reported,21,2003
Cleared,6,2003
Reported,43,2004
Cleared,10,2004
Reported,53,2005
Cleared,8,2005
Reported,32,2006
Cleared,14,2006
Reported,18,2007
Cleared,3,2007
Reported,40,2008
Cleared,8,2008
Reported,10,2009
Cleared,5,2009
Reported,16,2010
Cleared,2,2010
Reported,30,2011
Cleared,6,2011
Reported,22,2012
Cleared,4,2012
Reported,21,2013
Cleared,2,2013
Reported,36,2014
Cleared,3,2014
Reported,7,2016
Cleared,2,2016
Reported,23,2017
Cleared,3,2017
Reported,19,2018
Cleared,6,2018
