Label,Value,Year
Reported,54,1985
Cleared,6,1985
Reported,33,1986
Cleared,2,1986
Reported,121,1987
Cleared,49,1987
Reported,119,1988
Cleared,45,1988
Reported,170,1989
Cleared,57,1989
Reported,175,1990
Cleared,54,1990
Reported,139,1991
Cleared,61,1991
Reported,110,1992
Cleared,48,1992
Reported,112,1993
Cleared,27,1993
Reported,106,1994
Cleared,18,1994
Reported,73,1995
Cleared,10,1995
Reported,120,1996
Cleared,18,1996
Reported,100,1997
Cleared,15,1997
Reported,123,1998
Cleared,32,1998
Reported,95,1999
Cleared,18,1999
Reported,91,2000
Cleared,21,2000
Reported,102,2001
Cleared,33,2001
Reported,141,2002
Cleared,32,2002
Reported,127,2003
Cleared,51,2003
Reported,163,2004
Cleared,62,2004
Reported,172,2005
Cleared,52,2005
Reported,149,2006
Cleared,69,2006
Reported,90,2007
Cleared,26,2007
Reported,150,2008
Cleared,45,2008
Reported,100,2009
Cleared,45,2009
Reported,61,2010
Cleared,24,2010
Reported,102,2011
Cleared,21,2011
Reported,72,2012
Cleared,27,2012
Reported,73,2013
Cleared,36,2013
Reported,75,2014
Cleared,15,2014
Reported,45,2016
Cleared,13,2016
Reported,84,2017
Cleared,20,2017
Reported,61,2018
Cleared,14,2018
