Label,Value,Year
Reported,0,1985
Cleared,0,1985
Reported,0,1986
Cleared,0,1986
Reported,1,1987
Cleared,1,1987
Reported,3,1988
Cleared,1,1988
Reported,1,1989
Cleared,1,1989
Reported,4,1990
Cleared,2,1990
Reported,1,1991
Cleared,1,1991
Reported,3,1992
Cleared,1,1992
Reported,3,1993
Cleared,1,1993
Reported,5,1994
Cleared,2,1994
Reported,1,1995
Cleared,1,1995
Reported,1,1996
Cleared,0,1996
Reported,1,1997
Cleared,0,1997
Reported,3,1998
Cleared,1,1998
Reported,5,1999
Cleared,3,1999
Reported,4,2000
Cleared,4,2000
Reported,6,2001
Cleared,1,2001
Reported,2,2002
Cleared,1,2002
Reported,5,2003
Cleared,3,2003
Reported,1,2004
Cleared,2,2004
Reported,6,2005
Cleared,4,2005
Reported,7,2006
Cleared,3,2006
Reported,5,2007
Cleared,1,2007
Reported,0,2008
Cleared,1,2008
Reported,2,2009
Cleared,1,2009
Reported,2,2010
Cleared,1,2010
Reported,2,2011
Cleared,2,2011
Reported,1,2012
Cleared,0,2012
Reported,2,2013
Cleared,1,2013
Reported,1,2014
Cleared,1,2014
Reported,0,2016
Cleared,0,2016
Reported,2,2017
Cleared,0,2017
Reported,3,2018
Cleared,0,2018
