year,ori,aggravated_assault_actual,aggravated_assault_cleared,arson_actual,arson_cleared,burglary_actual,burglary_cleared,homicide_actual,homicide_cleared,larceny_actual,larceny_cleared,motor_vehicle_theft_actual,motor_vehicle_theft_cleared,property_crime_actual,property_crime_cleared,robbery_actual,robbery_cleared,violent_crime_actual,violent_crime_cleared
1985,NC0460200,8,2,0,0,16,1,0,0,36,4,2,1,54,6,0,0,8,2
1986,NC0460200,3,2,0,0,10,1,0,0,23,1,0,0,33,2,0,0,4,2
1987,NC0460200,15,15,0,0,27,5,0,0,90,43,4,1,121,49,1,1,16,16
1988,NC0460200,25,22,1,1,36,6,0,0,78,36,5,3,119,45,3,1,28,23
1989,NC0460200,27,26,0,0,50,7,1,1,110,42,10,8,170,57,1,1,31,30
1990,NC0460200,34,30,0,0,60,5,0,0,109,48,6,1,175,54,4,2,38,32
1991,NC0460200,38,36,0,0,28,6,1,1,109,53,2,2,139,61,1,1,40,38
1992,NC0460200,28,25,2,2,14,3,1,1,92,42,4,3,110,48,3,1,33,27
1993,NC0460200,12,9,0,0,31,8,1,1,78,18,3,1,112,27,3,1,16,11
1994,NC0460200,2,2,0,0,25,5,0,0,73,11,8,2,106,18,5,2,7,4
1995,NC0460200,1,0,0,0,15,1,0,0,54,6,4,3,73,10,1,1,4,1
1996,NC0460200,0,0,3,0,27,5,0,0,89,12,4,1,120,18,1,0,1,0
1997,NC0460200,1,0,1,0,13,1,0,0,80,13,7,1,100,15,1,0,2,0
1998,NC0460200,4,4,0,0,17,1,0,0,104,30,2,1,123,32,3,1,8,6
1999,NC0460200,8,6,1,0,21,6,0,0,70,12,4,0,95,18,5,3,16,14
2000,NC0460200,5,5,0,0,24,4,0,0,65,15,2,2,91,21,4,4,9,9
2001,NC0460200,3,3,0,0,23,5,0,0,78,28,1,0,102,33,6,1,9,5
2002,NC0460200,10,7,0,0,28,2,0,0,111,29,2,1,141,32,2,1,12,8
2003,NC0460200,11,9,0,0,21,6,0,0,104,44,2,1,127,51,5,3,16,12
2004,NC0460200,10,10,1,0,43,10,0,0,119,51,1,1,163,62,1,2,12,13
2005,NC0460200,14,13,0,0,53,8,0,0,119,44,0,0,172,52,6,4,20,17
2006,NC0460200,13,10,1,1,32,14,0,0,116,55,1,0,149,69,7,3,21,14
2007,NC0460200,7,7,1,0,18,3,0,0,70,23,2,0,90,26,5,1,12,8
2008,NC0460200,2,2,0,0,40,8,0,0,109,37,1,0,150,45,0,1,2,3
2009,NC0460200,5,4,0,0,10,5,1,0,86,38,4,2,100,45,2,1,8,5
2010,NC0460200,2,2,0,0,16,2,0,0,42,21,3,1,61,24,2,1,4,3
2011,NC0460200,2,2,0,0,30,6,0,0,71,14,1,1,102,21,2,2,4,4
2012,NC0460200,3,3,0,0,22,4,0,0,48,22,2,1,72,27,1,0,4,3
2013,NC0460200,3,2,0,0,21,2,2,2,51,33,1,1,73,36,2,1,7,5
2014,NC0460200,3,3,0,0,36,3,0,0,37,10,2,2,75,15,1,1,4,4
2016,NC0460200,2,2,0,0,7,2,0,0,38,11,0,0,45,13,0,0,2,2
2017,NC0460200,4,4,0,0,23,3,0,0,59,15,2,2,84,20,2,0,7,5
2018,NC0460200,1,1,0,0,19,6,0,0,40,8,2,0,61,14,3,0,5,2
