Label,Value,Year
Reported,273,1985
Cleared,134,1985
Reported,324,1986
Cleared,100,1986
Reported,334,1987
Cleared,90,1987
Reported,410,1988
Cleared,125,1988
Reported,361,1989
Cleared,94,1989
Reported,408,1990
Cleared,139,1990
Reported,444,1991
Cleared,155,1991
Reported,413,1992
Cleared,137,1992
Reported,389,1993
Cleared,140,1993
Reported,420,1994
Cleared,158,1994
Reported,345,1995
Cleared,137,1995
Reported,439,1996
Cleared,73,1996
Reported,390,1997
Cleared,80,1997
Reported,286,1998
Cleared,135,1998
Reported,290,1999
Cleared,65,1999
Reported,315,2000
Cleared,76,2000
Reported,317,2001
Cleared,65,2001
Reported,455,2002
Cleared,99,2002
Reported,300,2003
Cleared,90,2003
Reported,347,2004
Cleared,80,2004
Reported,317,2005
Cleared,76,2005
Reported,346,2006
Cleared,91,2006
Reported,388,2007
Cleared,57,2007
Reported,336,2008
Cleared,58,2008
Reported,249,2009
Cleared,73,2009
Reported,247,2010
Cleared,63,2010
Reported,195,2011
Cleared,78,2011
Reported,197,2012
Cleared,53,2012
Reported,213,2013
Cleared,74,2013
Reported,165,2014
Cleared,63,2014
Reported,216,2015
Cleared,76,2015
Reported,220,2016
Cleared,70,2016
Reported,194,2017
Cleared,64,2017
Reported,140,2018
Cleared,43,2018
