Label,Value,Year
Reported,56,1985
Cleared,48,1985
Reported,53,1986
Cleared,53,1986
Reported,52,1987
Cleared,42,1987
Reported,46,1988
Cleared,32,1988
Reported,73,1989
Cleared,51,1989
Reported,93,1990
Cleared,77,1990
Reported,114,1991
Cleared,76,1991
Reported,99,1992
Cleared,83,1992
Reported,122,1993
Cleared,95,1993
Reported,87,1994
Cleared,93,1994
Reported,89,1995
Cleared,71,1995
Reported,71,1996
Cleared,57,1996
Reported,59,1997
Cleared,61,1997
Reported,65,1998
Cleared,47,1998
Reported,84,1999
Cleared,55,1999
Reported,75,2000
Cleared,59,2000
Reported,66,2001
Cleared,52,2001
Reported,67,2002
Cleared,39,2002
Reported,66,2003
Cleared,43,2003
Reported,59,2004
Cleared,26,2004
Reported,85,2005
Cleared,55,2005
Reported,83,2006
Cleared,57,2006
Reported,76,2007
Cleared,51,2007
Reported,83,2008
Cleared,59,2008
Reported,58,2009
Cleared,49,2009
Reported,61,2010
Cleared,54,2010
Reported,56,2011
Cleared,53,2011
Reported,52,2012
Cleared,40,2012
Reported,59,2013
Cleared,40,2013
Reported,47,2014
Cleared,31,2014
Reported,61,2015
Cleared,50,2015
Reported,67,2016
Cleared,57,2016
Reported,86,2017
Cleared,78,2017
Reported,59,2018
Cleared,48,2018
