Label,Value,Year
Reported,18447,1985
Cleared,3454,1985
Reported,18637,1986
Cleared,3567,1986
Reported,21723,1987
Cleared,4190,1987
Reported,24236,1988
Cleared,4785,1988
Reported,26228,1989
Cleared,4608,1989
Reported,27153,1990
Cleared,4616,1990
Reported,27799,1991
Cleared,5078,1991
Reported,27014,1992
Cleared,4655,1992
Reported,26370,1993
Cleared,4270,1993
Reported,28469,1994
Cleared,4353,1994
Reported,29273,1995
Cleared,3837,1995
Reported,30199,1996
Cleared,4139,1996
Reported,28922,1997
Cleared,4634,1997
Reported,29256,1998
Cleared,3832,1998
Reported,30116,1999
Cleared,3298,1999
Reported,27789,2000
Cleared,3086,2000
Reported,27291,2001
Cleared,3189,2001
Reported,25860,2002
Cleared,3053,2002
Reported,26628,2003
Cleared,3950,2003
Reported,28129,2004
Cleared,2785,2004
Reported,26708,2005
Cleared,3928,2005
Reported,28154,2006
Cleared,4086,2006
Reported,32313,2007
Cleared,3738,2007
Reported,29735,2008
Cleared,4633,2008
Reported,25379,2009
Cleared,4976,2009
Reported,22711,2010
Cleared,5069,2010
Reported,21371,2011
Cleared,4987,2011
Reported,22688,2012
Cleared,5584,2012
Reported,22274,2013
Cleared,5165,2013
Reported,22827,2014
Cleared,4930,2014
Reported,24091,2015
Cleared,5345,2015
Reported,27280,2016
Cleared,4834,2016
Reported,25856,2017
Cleared,4216,2017
Reported,26186,2018
Cleared,3659,2018
