Label,Value,Year
Legacy Rape Reported,226,1985
Legacy Rape Cleared,125,1985
Legacy Rape Reported,305,1986
Legacy Rape Cleared,181,1986
Legacy Rape Reported,308,1987
Legacy Rape Cleared,164,1987
Legacy Rape Reported,315,1988
Legacy Rape Cleared,180,1988
Legacy Rape Reported,325,1989
Legacy Rape Cleared,185,1989
Legacy Rape Reported,384,1990
Legacy Rape Cleared,191,1990
Legacy Rape Reported,407,1991
Legacy Rape Cleared,195,1991
Legacy Rape Reported,361,1992
Legacy Rape Cleared,147,1992
Legacy Rape Reported,356,1993
Legacy Rape Cleared,171,1993
Legacy Rape Reported,350,1994
Legacy Rape Cleared,180,1994
Legacy Rape Reported,366,1995
Legacy Rape Cleared,212,1995
Legacy Rape Reported,306,1996
Legacy Rape Cleared,159,1996
Legacy Rape Reported,345,1997
Legacy Rape Cleared,208,1997
Legacy Rape Reported,333,1998
Legacy Rape Cleared,207,1998
Legacy Rape Reported,262,1999
Legacy Rape Cleared,190,1999
Legacy Rape Reported,308,2000
Legacy Rape Cleared,207,2000
Legacy Rape Reported,293,2001
Legacy Rape Cleared,156,2001
Legacy Rape Reported,289,2002
Legacy Rape Cleared,136,2002
Legacy Rape Reported,306,2003
Legacy Rape Cleared,232,2003
Legacy Rape Reported,312,2004
Legacy Rape Cleared,142,2004
Legacy Rape Reported,323,2005
Legacy Rape Cleared,267,2005
Legacy Rape Reported,346,2006
Legacy Rape Cleared,263,2006
Legacy Rape Reported,282,2007
Legacy Rape Cleared,199,2007
Legacy Rape Reported,272,2008
Legacy Rape Cleared,202,2008
Legacy Rape Reported,303,2009
Legacy Rape Cleared,224,2009
Legacy Rape Reported,239,2010
Legacy Rape Cleared,141,2010
Legacy Rape Reported,218,2011
Legacy Rape Cleared,126,2011
Legacy Rape Reported,223,2012
Legacy Rape Cleared,129,2012
Legacy Rape Reported,230,2013
Legacy Rape Cleared,119,2013
Legacy Rape Reported,210,2014
Legacy Rape Cleared,68,2014
Legacy Rape Reported,216,2015
Legacy Rape Cleared,73,2015
Legacy Rape Reported,219,2016
Legacy Rape Cleared,81,2016
Revised Rape Reported,236,2017
Revised Rape Cleared,79,2017
Revised Rape Reported,254,2018
Revised Rape Cleared,65,2018
