year,ori,violent_crime_actual,violent_crime_cleared,homicide_actual,homicide_cleared,robbery_actual,robbery_cleared,aggravated_assault_actual,aggravated_assault_cleared,property_crime_actual,property_crime_cleared,arson_actual,arson_cleared,burglary_actual,burglary_cleared,larceny_actual,larceny_cleared,motor_vehicle_theft_actual,motor_vehicle_theft_cleared
1985,NC0670300,1,1,1,1,0,0,0,0,17,11,0,0,7,4,5,4,5,3
1986,NC0670300,5,5,0,0,1,1,4,4,36,22,0,0,13,5,22,16,1,1
1987,NC0670300,5,4,0,0,1,1,3,3,23,14,0,0,7,3,13,10,3,1
1988,NC0670300,3,3,0,0,0,0,3,3,54,25,0,0,13,5,38,17,3,3
1989,NC0670300,12,11,0,0,1,0,11,11,33,15,1,1,9,3,23,12,1,0
1990,NC0670300,8,7,0,0,1,0,7,7,42,31,0,0,11,8,29,22,2,1
1991,NC0670300,15,14,0,0,4,4,11,10,68,32,1,1,22,8,44,23,2,1
1992,NC0670300,16,13,0,0,4,2,12,11,81,20,2,1,28,6,51,13,2,1
1993,NC0670300,3,1,0,0,2,0,1,1,53,13,0,0,13,3,39,9,1,1
1994,NC0670300,9,4,0,0,3,0,6,4,42,10,1,1,12,2,29,7,1,1
1995,NC0670300,5,5,0,0,1,1,4,4,34,14,0,0,3,0,28,11,3,3
1996,NC0670300,0,0,0,0,0,0,0,0,44,25,1,0,9,6,31,15,4,4
1997,NC0670300,1,1,0,0,0,0,1,1,13,2,0,0,6,2,7,0,0,0
1998,NC0670300,4,2,0,0,4,2,0,0,8,3,0,0,3,2,4,1,1,0
1999,NC0670300,1,0,0,0,1,0,0,0,10,2,0,0,3,2,6,0,1,0
2000,NC0670300,1,1,0,0,1,1,0,0,14,5,1,0,8,2,4,1,2,2
2001,NC0670300,4,4,1,1,1,1,2,2,3,0,0,0,1,0,2,0,0,0
2002,NC0670300,0,0,0,0,0,0,0,0,7,0,0,0,4,0,2,0,1,0
2003,NC0670300,6,3,1,1,4,1,1,1,30,8,0,0,14,3,15,4,1,1
2004,NC0670300,0,0,0,0,0,0,0,0,30,7,1,0,7,3,22,4,1,0
2005,NC0670300,1,0,0,0,0,0,0,0,28,8,1,0,9,2,18,5,1,1
2006,NC0670300,1,1,0,0,0,0,1,1,49,9,0,0,7,0,39,8,3,1
2007,NC0670300,2,0,0,0,1,0,1,0,43,10,1,1,6,0,36,9,1,1
2008,NC0670300,5,5,0,0,1,1,4,4,39,8,0,0,6,0,31,7,2,1
2009,NC0670300,3,0,0,0,1,0,2,0,35,5,0,0,9,1,25,4,1,0
2010,NC0670300,7,4,0,0,3,2,3,2,32,13,0,0,9,4,22,9,1,0
2011,NC0670300,3,2,0,0,1,1,2,1,26,14,0,0,4,2,17,9,5,3
2012,NC0670300,2,2,0,0,0,0,2,2,32,5,0,0,8,1,22,3,2,1
2013,NC0670300,6,2,0,0,1,0,5,2,34,10,0,0,12,3,21,6,1,1
2014,NC0670300,2,0,0,0,0,0,2,0,23,4,0,0,5,0,18,4,0,0
2015,NC0670300,1,1,0,0,1,1,0,0,10,4,0,0,1,0,9,4,0,0
2016,NC0670300,0,0,0,0,0,0,0,0,14,5,0,0,7,2,7,3,0,0
2017,NC0670300,0,0,0,0,0,0,0,0,28,9,0,0,3,0,23,9,2,0
2018,NC0670300,0,0,0,0,0,0,0,0,21,6,0,0,3,0,18,6,0,0
