Label,Value,Year
Reported,260,1985
Cleared,23,1985
Reported,199,1986
Cleared,22,1986
Reported,207,1987
Cleared,25,1987
Reported,201,1988
Cleared,21,1988
Reported,147,1989
Cleared,18,1989
Reported,224,1990
Cleared,26,1990
Reported,198,1991
Cleared,26,1991
Reported,208,1992
Cleared,12,1992
Reported,241,1993
Cleared,13,1993
Reported,220,1994
Cleared,17,1994
Reported,162,1995
Cleared,12,1995
Reported,184,1996
Cleared,23,1996
Reported,166,1997
Cleared,10,1997
Reported,199,1998
Cleared,16,1998
Reported,177,1999
Cleared,6,1999
Reported,117,2000
Cleared,18,2000
Reported,127,2001
Cleared,15,2001
Reported,118,2002
Cleared,17,2002
Reported,112,2003
Cleared,23,2003
Reported,133,2004
Cleared,23,2004
Reported,68,2005
Cleared,19,2005
Reported,87,2006
Cleared,14,2006
Reported,68,2007
Cleared,14,2007
Reported,90,2008
Cleared,14,2008
Reported,119,2009
Cleared,20,2009
Reported,80,2010
Cleared,12,2010
Reported,89,2011
Cleared,13,2011
Reported,54,2012
Cleared,5,2012
Reported,52,2013
Cleared,8,2013
Reported,37,2014
Cleared,5,2014
Reported,41,2015
Cleared,8,2015
Reported,37,2016
Cleared,3,2016
Reported,29,2017
Cleared,2,2017
Reported,24,2018
Cleared,3,2018
