Label,Value,Year
Reported,2745,1985
Cleared,706,1985
Reported,2741,1986
Cleared,637,1986
Reported,3311,1987
Cleared,815,1987
Reported,3172,1988
Cleared,814,1988
Reported,2562,1989
Cleared,780,1989
Reported,2613,1990
Cleared,840,1990
Reported,3031,1991
Cleared,1128,1991
Reported,2578,1992
Cleared,981,1992
Reported,2494,1993
Cleared,1014,1993
Reported,2422,1994
Cleared,1101,1994
Reported,2566,1995
Cleared,1149,1995
Reported,2558,1996
Cleared,1212,1996
Reported,2506,1997
Cleared,1379,1997
Reported,2224,1998
Cleared,1125,1998
Reported,2207,1999
Cleared,1029,1999
Reported,1980,2000
Cleared,965,2000
Reported,1995,2001
Cleared,957,2001
Reported,1781,2002
Cleared,739,2002
Reported,1722,2003
Cleared,622,2003
Reported,1841,2004
Cleared,806,2004
Reported,1349,2005
Cleared,597,2005
Reported,1478,2006
Cleared,660,2006
Reported,1467,2007
Cleared,596,2007
Reported,1556,2008
Cleared,650,2008
Reported,1692,2009
Cleared,840,2009
Reported,1631,2010
Cleared,860,2010
Reported,1551,2011
Cleared,882,2011
Reported,1291,2012
Cleared,522,2012
Reported,1228,2013
Cleared,395,2013
Reported,1123,2014
Cleared,341,2014
Reported,961,2015
Cleared,538,2015
Reported,1097,2016
Cleared,605,2016
Reported,1095,2017
Cleared,486,2017
Reported,1015,2018
Cleared,412,2018
