Label,Value,Year
Reported,623,1985
Cleared,8,1985
Reported,704,1986
Cleared,16,1986
Reported,668,1987
Cleared,21,1987
Reported,680,1988
Cleared,19,1988
Reported,622,1989
Cleared,17,1989
Reported,733,1990
Cleared,19,1990
Reported,851,1991
Cleared,11,1991
Reported,785,1992
Cleared,13,1992
Reported,691,1993
Cleared,10,1993
Reported,782,1994
Cleared,10,1994
Reported,587,1995
Cleared,8,1995
Reported,488,1996
Cleared,5,1996
Reported,368,1997
Cleared,3,1997
Reported,376,1998
Cleared,5,1998
Reported,308,1999
Cleared,4,1999
Reported,240,2000
Cleared,3,2000
Reported,266,2001
Cleared,6,2001
Reported,206,2002
Cleared,11,2002
Reported,204,2003
Cleared,4,2003
Reported,135,2004
Cleared,8,2004
Reported,74,2005
Cleared,7,2005
Reported,104,2006
Cleared,7,2006
Reported,43,2007
Cleared,4,2007
Reported,63,2008
Cleared,8,2008
Reported,36,2009
Cleared,3,2009
Reported,46,2010
Cleared,3,2010
Reported,28,2011
Cleared,3,2011
Reported,28,2012
Cleared,3,2012
Reported,35,2013
Cleared,0,2013
Reported,36,2014
Cleared,2,2014
Reported,34,2015
Cleared,3,2015
Reported,13,2016
Cleared,1,2016
Reported,30,2017
Cleared,3,2017
Reported,28,2018
Cleared,4,2018
