Label,Value,Year
Legacy Rape Reported,6,1985
Legacy Rape Cleared,2,1985
Legacy Rape Reported,7,1986
Legacy Rape Cleared,3,1986
Legacy Rape Reported,10,1987
Legacy Rape Cleared,3,1987
Legacy Rape Reported,9,1988
Legacy Rape Cleared,3,1988
Legacy Rape Reported,3,1989
Legacy Rape Cleared,2,1989
Legacy Rape Reported,4,1990
Legacy Rape Reported,7,1991
Legacy Rape Cleared,4,1991
Legacy Rape Reported,3,1993
Legacy Rape Cleared,3,1993
Legacy Rape Reported,2,1994
Legacy Rape Reported,2,1995
Legacy Rape Cleared,1,1995
Legacy Rape Reported,7,1996
Legacy Rape Cleared,1,1996
Legacy Rape Reported,7,1997
Legacy Rape Cleared,3,1997
Legacy Rape Reported,2,1998
Legacy Rape Cleared,2,1998
Legacy Rape Reported,2,1999
Legacy Rape Cleared,2,1999
Legacy Rape Reported,4,2000
Legacy Rape Cleared,3,2000
Legacy Rape Reported,2,2001
Legacy Rape Cleared,2,2001
Legacy Rape Reported,4,2002
Legacy Rape Cleared,1,2002
Legacy Rape Reported,6,2003
Legacy Rape Cleared,3,2003
Legacy Rape Reported,1,2004
Legacy Rape Reported,1,2005
Legacy Rape Reported,1,2007
Legacy Rape Cleared,1,2007
Legacy Rape Reported,3,2008
Legacy Rape Cleared,2,2008
Legacy Rape Reported,3,2011
Legacy Rape Cleared,2,2011
Legacy Rape Reported,2,2012
Legacy Rape Cleared,1,2012
Legacy Rape Reported,1,2014
Revised Rape Reported,2,2015
Revised Rape Reported,1,2016
Revised Rape Cleared,1,2016
Revised Rape Reported,3,2018
Revised Rape Cleared,1,2018
