Series,Year,Rate
1985,Male Officers,28
1985,Female Officers,0
1985,Male Civilians,1
1985,Female Civilians,6
1986,Male Officers,27
1986,Female Officers,0
1986,Male Civilians,2
1986,Female Civilians,7
1987,Male Officers,31
1987,Female Officers,0
1987,Male Civilians,2
1987,Female Civilians,9
1988,Male Officers,36
1988,Female Officers,0
1988,Male Civilians,9
1988,Female Civilians,2
1989,Male Officers,36
1989,Female Officers,0
1989,Male Civilians,2
1989,Female Civilians,9
1990,Male Officers,39
1990,Female Officers,0
1990,Male Civilians,2
1990,Female Civilians,9
1991,Male Officers,38
1991,Female Officers,0
1991,Male Civilians,2
1991,Female Civilians,10
1992,Male Officers,40
1992,Female Officers,0
1992,Male Civilians,1
1992,Female Civilians,10
1993,Male Officers,41
1993,Female Officers,0
1993,Male Civilians,1
1993,Female Civilians,11
1994,Male Officers,43
1994,Female Officers,0
1994,Male Civilians,1
1994,Female Civilians,12
1995,Male Officers,44
1995,Female Officers,1
1995,Male Civilians,3
1995,Female Civilians,12
1996,Male Officers,45
1996,Female Officers,1
1996,Male Civilians,1
1996,Female Civilians,11
1997,Male Officers,49
1997,Female Officers,1
1997,Male Civilians,1
1997,Female Civilians,12
1998,Male Officers,48
1998,Female Officers,2
1998,Male Civilians,1
1998,Female Civilians,12
1999,Male Officers,48
1999,Female Officers,2
1999,Male Civilians,2
1999,Female Civilians,12
2000,Male Officers,48
2000,Female Officers,2
2000,Male Civilians,2
2000,Female Civilians,13
2001,Male Officers,46
2001,Female Officers,2
2001,Male Civilians,1
2001,Female Civilians,11
2002,Male Officers,46
2002,Female Officers,4
2002,Male Civilians,3
2002,Female Civilians,11
2003,Male Officers,47
2003,Female Officers,5
2003,Male Civilians,3
2003,Female Civilians,10
2004,Male Officers,45
2004,Female Officers,5
2004,Male Civilians,2
2004,Female Civilians,11
2005,Male Officers,47
2005,Female Officers,5
2005,Male Civilians,3
2005,Female Civilians,12
2006,Male Officers,47
2006,Female Officers,4
2006,Male Civilians,3
2006,Female Civilians,12
2007,Male Officers,47
2007,Female Officers,4
2007,Male Civilians,3
2007,Female Civilians,12
2008,Male Officers,48
2008,Female Officers,4
2008,Male Civilians,2
2008,Female Civilians,12
2009,Male Officers,48
2009,Female Officers,4
2009,Male Civilians,1
2009,Female Civilians,12
2010,Male Officers,47
2010,Female Officers,3
2010,Male Civilians,1
2010,Female Civilians,12
2011,Male Officers,43
2011,Female Officers,2
2011,Male Civilians,0
2011,Female Civilians,7
2012,Male Officers,43
2012,Female Officers,2
2012,Male Civilians,0
2012,Female Civilians,7
2013,Male Officers,43
2013,Female Officers,2
2013,Male Civilians,0
2013,Female Civilians,7
2014,Male Officers,47
2014,Female Officers,1
2014,Male Civilians,0
2014,Female Civilians,7
2015,Male Officers,49
2015,Female Officers,1
2015,Male Civilians,0
2015,Female Civilians,6
2016,Male Officers,48
2016,Female Officers,1
2016,Male Civilians,2
2016,Female Civilians,7
2017,Male Officers,53
2017,Female Officers,1
2017,Male Civilians,2
2017,Female Civilians,8
2018,Male Officers,55
2018,Female Officers,1
2018,Male Civilians,1
2018,Female Civilians,6
