ori,year,aggravated_assault,all_other_offenses,arson,burglary,curfew,disorderly_conduct,dui,drug_grand_total,drunkness,embezzlement,forgery,fraud,gambling_total,human_trafficking_commercial_sex_traffic,human_trafficking_servitude,larceny,liquor_laws,manslaughter,motor_vehicle_theft,murder,offense_against_family,prostitution_total,rape,robbery,other_sex_offenses,simple_assault,stolen_property,suspicion,vagrancy,vandalism,weapons
NJ0081100,2018,16,39,5,39,0,69,53,272,0,0,7,4,0,0,0,102,0,3,9,0,8,0,9,6,7,108,11,0,0,13,5
NJ0081100,2017,24,46,1,59,0,86,54,377,0,0,6,8,0,0,0,89,1,2,1,1,2,0,3,9,9,148,17,0,0,12,10
NJ0081100,2016,14,45,3,47,0,98,53,288,0,0,4,8,0,0,0,106,5,0,1,0,7,0,3,12,2,132,13,0,0,16,12
NJ0081100,2015,25,36,0,20,0,122,62,264,0,0,2,7,0,0,0,108,0,0,2,1,3,2,1,2,2,125,14,0,0,19,13
NJ0081100,2014,15,46,0,40,0,116,55,170,0,1,2,5,0,0,0,127,1,0,14,2,2,0,2,6,1,111,19,0,0,19,19
NJ0081100,2013,20,47,1,50,0,97,42,148,0,0,1,2,0,0,0,122,3,0,2,1,1,0,6,10,2,121,20,0,0,14,10
NJ0081100,2012,13,194,1,40,0,70,50,100,0,2,2,8,0,0,0,93,5,0,6,0,12,0,0,4,3,118,12,0,0,1,9
NJ0081100,2011,17,224,0,20,0,76,68,90,0,1,7,7,0,0,0,44,8,0,1,0,5,2,1,2,4,114,21,0,0,31,7
NJ0081100,2010,18,118,0,16,3,39,53,95,0,0,3,6,0,0,0,47,3,0,0,0,0,0,0,5,5,103,10,0,0,26,9
NJ0081100,2009,20,109,0,13,2,66,65,81,0,0,1,1,0,0,0,59,5,0,0,0,2,0,1,8,1,83,7,0,0,6,8
NJ0081100,2008,12,128,1,19,0,54,31,105,0,0,2,5,0,0,0,64,4,1,3,0,3,0,0,3,4,101,12,0,0,25,11
NJ0081100,2007,28,145,2,12,0,62,68,117,0,0,2,6,0,0,0,49,13,0,2,1,1,0,2,3,6,95,16,0,0,12,13
NJ0081100,2006,20,167,1,11,0,78,20,104,0,0,4,9,0,0,0,77,6,0,0,0,1,0,0,4,2,102,6,0,0,17,7
NJ0081100,2005,26,165,0,20,0,71,48,134,0,0,3,3,0,0,0,57,35,0,3,0,0,0,4,8,2,109,8,0,0,14,11
NJ0081100,2004,31,59,3,12,6,184,102,82,0,0,2,3,0,0,0,55,31,0,4,0,5,0,3,8,5,131,9,0,0,13,14
NJ0081100,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NJ0081100,2002,20,128,8,26,2,114,144,163,0,0,5,7,3,0,0,94,23,0,36,0,3,2,3,5,8,102,7,0,0,35,17
NJ0081100,2001,18,99,4,36,9,102,139,177,0,0,6,14,0,0,0,52,37,0,14,0,2,0,2,7,5,98,3,0,0,31,7
NJ0081100,2000,15,90,3,34,7,114,141,190,0,0,6,11,0,0,0,35,21,0,15,0,2,0,1,4,7,70,3,0,0,25,4
NJ0081100,1999,21,68,5,31,20,150,130,137,0,0,2,1,0,0,0,74,35,0,29,0,0,0,4,7,6,70,7,0,0,59,7
NJ0081100,1998,22,40,3,43,15,138,88,155,0,0,2,1,0,0,0,54,50,0,15,0,3,0,0,7,10,69,5,0,0,16,6
NJ0081100,1997,17,32,1,53,42,125,78,128,0,0,1,3,0,0,0,45,11,0,9,0,0,0,0,5,4,75,7,0,0,23,8
NJ0081100,1996,20,38,1,27,10,130,80,165,0,0,1,6,0,0,0,58,8,0,14,0,1,0,2,2,4,63,8,0,0,20,4
NJ0081100,1995,11,36,3,35,29,71,92,145,0,0,1,10,0,0,0,33,52,0,9,0,2,0,3,10,6,76,16,0,0,25,8
NJ0081100,1994,19,43,1,45,6,99,94,132,0,0,0,3,0,0,0,46,15,0,14,0,11,0,0,9,6,103,5,0,0,35,27
NJ0081100,1993,28,50,3,54,0,96,97,104,0,0,0,5,0,0,0,89,10,0,31,0,1,3,1,3,9,123,6,0,0,19,19
NJ0081100,1992,17,51,8,39,0,93,57,110,0,0,0,2,0,0,0,204,0,0,9,1,0,0,0,14,11,59,2,0,0,26,8
NJ0081100,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NJ0081100,1990,18,61,3,33,3,146,62,74,0,0,1,2,0,0,0,128,0,0,14,1,0,0,1,8,5,94,9,0,0,30,7
NJ0081100,1989,20,66,4,23,3,209,108,128,0,0,1,3,0,0,0,142,35,0,4,1,0,1,3,2,9,69,5,0,0,53,8
NJ0081100,1988,24,68,0,47,20,132,135,103,0,0,0,2,2,0,0,76,5,0,15,1,2,0,7,3,9,88,11,0,0,37,17
NJ0081100,1987,29,219,4,64,14,80,122,61,0,0,2,80,0,0,0,105,2,0,2,1,1,0,2,5,11,104,28,0,2,45,11
NJ0081100,1986,23,223,0,45,9,169,115,77,0,0,1,14,0,0,0,90,20,0,0,2,6,0,4,13,4,100,15,0,0,60,14
NJ0081100,1985,27,227,4,48,3,184,65,59,0,0,2,12,0,0,0,82,11,0,1,1,6,0,2,2,13,133,12,0,0,54,19
