Label,Value,Year
Reported,19,1985
Cleared,16,1985
Reported,18,1986
Cleared,13,1986
Reported,25,1987
Cleared,13,1987
Reported,21,1988
Cleared,9,1988
Reported,18,1989
Cleared,12,1989
Reported,41,1990
Cleared,33,1990
Reported,35,1991
Cleared,18,1991
Reported,34,1992
Cleared,17,1992
Reported,18,1993
Cleared,16,1993
Reported,16,1994
Cleared,10,1994
Reported,24,1995
Cleared,14,1995
Reported,18,1996
Cleared,17,1996
Reported,11,1997
Cleared,6,1997
Reported,23,1998
Cleared,11,1998
Reported,17,1999
Cleared,12,1999
Reported,22,2000
Cleared,17,2000
Reported,25,2001
Cleared,16,2001
Reported,17,2002
Cleared,9,2002
Reported,16,2003
Cleared,9,2003
Reported,15,2004
Cleared,4,2004
Reported,11,2005
Cleared,8,2005
Reported,19,2006
Cleared,17,2006
Reported,10,2007
Cleared,9,2007
Reported,11,2008
Cleared,7,2008
Reported,13,2009
Cleared,10,2009
Reported,21,2010
Cleared,12,2010
Reported,14,2011
Cleared,6,2011
Reported,22,2012
Cleared,16,2012
Reported,9,2013
Cleared,6,2013
Reported,10,2014
Cleared,7,2014
Reported,3,2015
Cleared,3,2015
Reported,5,2016
Cleared,6,2016
Reported,4,2017
Cleared,4,2017
Reported,5,2018
Cleared,4,2018
