year,ori,violent_crime_actual,violent_crime_cleared,homicide_actual,homicide_cleared,robbery_actual,robbery_cleared,aggravated_assault_actual,aggravated_assault_cleared,property_crime_actual,property_crime_cleared,arson_actual,arson_cleared,burglary_actual,burglary_cleared,larceny_actual,larceny_cleared,motor_vehicle_theft_actual,motor_vehicle_theft_cleared
1985,NJ0121300,19,16,1,1,0,0,17,14,292,43,5,0,94,25,188,15,10,3
1986,NJ0121300,18,13,0,0,3,0,12,11,320,40,5,0,93,19,216,21,11,0
1987,NJ0121300,25,13,0,0,3,0,21,13,377,24,4,0,107,12,243,11,27,1
1988,NJ0121300,21,9,0,0,0,0,19,7,326,26,4,0,63,5,239,16,24,5
1989,NJ0121300,18,12,0,0,0,0,17,12,323,40,3,0,27,1,274,36,22,3
1990,NJ0121300,41,33,0,0,2,0,37,31,364,91,3,0,98,20,239,64,27,7
1991,NJ0121300,35,18,0,0,2,0,33,18,294,55,6,5,87,17,196,32,11,6
1992,NJ0121300,34,17,0,0,4,1,30,16,304,32,2,0,78,4,206,23,20,5
1993,NJ0121300,18,16,0,0,3,0,11,13,221,16,1,0,67,0,145,16,9,0
1994,NJ0121300,16,10,1,1,2,1,12,7,294,36,3,0,84,16,191,17,19,3
1995,NJ0121300,24,14,0,0,3,0,20,14,305,18,5,0,83,8,206,9,16,1
1996,NJ0121300,18,17,0,0,1,1,17,16,367,35,6,0,60,9,282,20,25,6
1997,NJ0121300,11,6,0,0,1,0,10,6,330,45,3,0,53,8,261,37,16,0
1998,NJ0121300,23,11,0,0,3,0,20,11,198,18,3,0,46,7,148,10,4,1
1999,NJ0121300,17,12,0,0,0,0,16,12,198,20,1,1,45,5,144,15,9,0
2000,NJ0121300,22,17,0,0,2,2,20,15,223,17,0,0,47,4,169,11,7,2
2001,NJ0121300,25,16,0,0,1,0,24,16,193,11,2,1,39,2,143,8,11,1
2002,NJ0121300,17,9,0,0,5,1,10,8,290,18,4,0,46,4,232,13,12,1
2003,NJ0121300,16,9,0,0,2,0,14,9,241,15,1,1,32,3,201,12,8,0
2004,NJ0121300,15,4,0,0,2,1,12,3,199,8,2,0,21,3,167,5,11,0
2005,NJ0121300,11,8,0,0,2,1,8,7,230,15,1,0,38,5,185,8,7,2
2006,NJ0121300,19,17,0,0,1,1,17,15,281,19,0,0,52,5,217,14,12,0
2007,NJ0121300,10,9,0,0,1,1,8,7,257,17,1,0,55,3,190,13,12,1
2008,NJ0121300,11,7,0,0,0,0,11,7,255,29,2,1,47,9,193,16,15,4
2009,NJ0121300,13,10,0,0,1,0,12,10,245,36,1,1,43,6,190,28,12,2
2010,NJ0121300,21,12,2,2,8,3,11,7,283,23,3,1,39,6,231,17,13,0
2011,NJ0121300,14,6,1,1,2,1,10,4,286,20,8,1,49,1,230,19,7,0
2012,NJ0121300,22,16,0,0,3,1,18,15,245,22,7,2,67,6,169,16,9,0
2013,NJ0121300,9,6,1,1,0,0,6,5,242,22,4,0,33,0,196,22,13,0
2014,NJ0121300,10,7,0,0,2,2,8,5,208,22,0,0,31,4,170,18,7,0
2015,NJ0121300,3,3,0,0,0,0,3,3,168,24,1,0,36,4,121,20,11,0
2016,NJ0121300,5,6,0,0,0,0,5,6,162,17,0,0,30,4,123,11,9,2
2017,NJ0121300,4,4,1,1,0,0,3,3,153,7,0,0,32,1,103,5,18,1
2018,NJ0121300,5,4,0,0,0,0,4,3,158,16,0,0,16,2,128,14,14,0
