Label,Value,Year
Reported,93,1985
Cleared,48,1985
Reported,126,1986
Cleared,48,1986
Reported,116,1987
Cleared,33,1987
Reported,189,1988
Cleared,56,1988
Reported,157,1989
Cleared,68,1989
Reported,110,1990
Cleared,42,1990
Reported,123,1991
Cleared,38,1991
Reported,106,1992
Cleared,48,1992
Reported,118,1993
Cleared,44,1993
Reported,98,1994
Cleared,41,1994
Reported,106,1995
Cleared,66,1995
Reported,135,1996
Cleared,55,1996
Reported,112,1997
Cleared,39,1997
Reported,114,1998
Cleared,69,1998
Reported,127,1999
Cleared,55,1999
Reported,107,2000
Cleared,61,2000
Reported,100,2001
Cleared,55,2001
Reported,116,2002
Cleared,65,2002
Reported,102,2003
Cleared,65,2003
Reported,120,2004
Cleared,73,2004
Reported,70,2005
Cleared,47,2005
Reported,73,2006
Cleared,36,2006
Reported,82,2007
Cleared,58,2007
Reported,152,2008
Cleared,106,2008
Reported,76,2009
Cleared,52,2009
Reported,53,2010
Cleared,43,2010
Reported,53,2011
Cleared,33,2011
Reported,61,2012
Cleared,45,2012
Reported,52,2013
Cleared,27,2013
Reported,97,2014
Cleared,51,2014
Reported,80,2015
Cleared,47,2015
Reported,94,2016
Cleared,67,2016
Reported,60,2017
Cleared,47,2017
Reported,97,2018
Cleared,69,2018
