Label,Value,Year
Reported,22,1985
Cleared,5,1985
Reported,32,1986
Cleared,7,1986
Reported,24,1987
Cleared,3,1987
Reported,21,1988
Cleared,5,1988
Reported,41,1989
Cleared,5,1989
Reported,21,1990
Cleared,3,1990
Reported,23,1991
Cleared,3,1991
Reported,43,1992
Cleared,9,1992
Reported,39,1993
Cleared,10,1993
Reported,12,1994
Cleared,10,1994
Reported,30,1995
Cleared,27,1995
Reported,33,1996
Cleared,7,1996
Reported,28,1997
Cleared,2,1997
Reported,20,1998
Cleared,8,1998
Reported,16,1999
Cleared,1,1999
Reported,8,2000
Cleared,3,2000
Reported,18,2001
Cleared,1,2001
Reported,15,2002
Cleared,0,2002
Reported,8,2003
Cleared,4,2003
Reported,18,2004
Cleared,3,2004
Reported,20,2005
Cleared,5,2005
Reported,8,2006
Cleared,1,2006
Reported,10,2007
Cleared,0,2007
Reported,15,2008
Cleared,3,2008
Reported,5,2009
Cleared,3,2009
Reported,6,2010
Cleared,0,2010
Reported,7,2011
Cleared,4,2011
Reported,4,2012
Cleared,3,2012
Reported,6,2013
Cleared,6,2013
Reported,6,2014
Cleared,3,2014
Reported,4,2015
Cleared,4,2015
Reported,7,2016
Cleared,0,2016
Reported,5,2017
Cleared,1,2017
Reported,7,2018
Cleared,4,2018
