Label,Value,Year
Reported,2229,1985
Cleared,226,1985
Reported,2186,1986
Cleared,180,1986
Reported,2401,1987
Cleared,255,1987
Reported,2344,1988
Cleared,222,1988
Reported,2404,1989
Cleared,347,1989
Reported,2152,1990
Cleared,263,1990
Reported,2458,1991
Cleared,299,1991
Reported,2582,1992
Cleared,302,1992
Reported,2606,1993
Cleared,267,1993
Reported,2680,1994
Cleared,237,1994
Reported,2464,1995
Cleared,213,1995
Reported,2456,1996
Cleared,207,1996
Reported,2228,1997
Cleared,150,1997
Reported,2063,1998
Cleared,688,1998
Reported,2042,1999
Cleared,155,1999
Reported,1837,2000
Cleared,96,2000
Reported,1620,2001
Cleared,116,2001
Reported,1564,2002
Cleared,254,2002
Reported,1596,2003
Cleared,285,2003
Reported,1728,2004
Cleared,226,2004
Reported,1471,2005
Cleared,168,2005
Reported,1661,2006
Cleared,143,2006
Reported,1448,2007
Cleared,204,2007
Reported,1424,2008
Cleared,224,2008
Reported,991,2009
Cleared,168,2009
Reported,1048,2010
Cleared,134,2010
Reported,1073,2011
Cleared,169,2011
Reported,1103,2012
Cleared,172,2012
Reported,998,2013
Cleared,217,2013
Reported,1118,2014
Cleared,230,2014
Reported,1076,2015
Cleared,199,2015
Reported,949,2016
Cleared,171,2016
Reported,931,2017
Cleared,180,2017
Reported,779,2018
Cleared,127,2018
