year,ori,aggravated_assault_actual,aggravated_assault_cleared,arson_actual,arson_cleared,burglary_actual,burglary_cleared,homicide_actual,homicide_cleared,larceny_actual,larceny_cleared,motor_vehicle_theft_actual,motor_vehicle_theft_cleared,property_crime_actual,property_crime_cleared,robbery_actual,robbery_cleared,violent_crime_actual,violent_crime_cleared
1985,NJ0151400,93,48,22,5,675,41,3,3,1403,171,151,14,2229,226,98,17,220,78
1986,NJ0151400,126,48,32,7,684,43,0,0,1321,130,181,7,2186,180,109,21,259,75
1987,NJ0151400,116,33,24,3,556,37,1,1,1520,191,325,27,2401,255,99,17,230,53
1988,NJ0151400,189,56,21,5,505,42,0,0,1507,145,332,35,2344,222,96,19,312,85
1989,NJ0151400,157,68,41,5,603,54,1,0,1580,261,221,32,2404,347,93,20,273,99
1990,NJ0151400,110,42,21,3,489,41,2,2,1431,197,232,25,2152,263,87,15,230,68
1991,NJ0151400,123,38,23,3,569,43,0,0,1681,239,208,17,2458,299,105,17,251,61
1992,NJ0151400,106,48,43,9,611,52,2,2,1766,233,205,17,2582,302,71,17,199,75
1993,NJ0151400,118,44,39,10,723,59,3,3,1675,184,208,24,2606,267,126,17,270,72
1994,NJ0151400,98,41,12,10,672,33,3,2,1774,174,234,30,2680,237,140,18,264,69
1995,NJ0151400,106,66,30,27,531,37,2,2,1719,161,214,15,2464,213,160,38,296,117
1996,NJ0151400,135,55,33,7,526,40,2,3,1694,158,236,9,2456,207,121,25,278,87
1997,NJ0151400,112,39,28,2,459,27,2,0,1610,115,159,8,2228,150,116,14,253,58
1998,NJ0151400,114,69,20,8,484,133,3,1,1407,481,172,74,2063,688,87,30,229,112
1999,NJ0151400,127,55,16,1,463,31,0,0,1462,105,117,19,2042,155,107,26,255,87
2000,NJ0151400,107,61,8,3,424,14,4,2,1285,71,128,11,1837,96,103,17,240,88
2001,NJ0151400,100,55,18,1,384,18,3,0,1090,83,146,15,1620,116,86,17,204,75
2002,NJ0151400,116,65,15,0,426,112,2,1,1004,104,134,38,1564,254,90,28,221,101
2003,NJ0151400,102,65,8,4,448,98,2,2,1031,157,117,30,1596,285,78,27,194,102
2004,NJ0151400,120,73,18,3,524,82,2,1,1054,101,150,43,1728,226,86,13,220,93
2005,NJ0151400,70,47,20,5,345,52,0,0,1004,97,122,19,1471,168,81,15,164,69
2006,NJ0151400,73,36,8,1,573,61,4,3,952,67,136,15,1661,143,138,19,225,65
2007,NJ0151400,82,58,10,0,462,69,3,2,886,122,100,13,1448,204,96,19,182,80
2008,NJ0151400,152,106,15,3,526,111,3,2,805,93,93,20,1424,224,93,16,252,128
2009,NJ0151400,76,52,5,3,260,37,1,1,693,127,38,4,991,168,58,17,142,80
2010,NJ0151400,53,43,6,0,247,23,4,1,746,108,55,3,1048,134,51,10,113,58
2011,NJ0151400,53,33,7,4,261,49,2,3,786,116,26,4,1073,169,31,16,92,57
2012,NJ0151400,61,45,4,3,274,55,2,1,785,108,44,9,1103,172,46,15,110,62
2013,NJ0151400,52,27,6,6,186,37,2,1,768,173,44,7,998,217,34,9,93,42
2014,NJ0151400,97,51,6,3,223,75,2,1,849,145,46,10,1118,230,65,24,167,78
2015,NJ0151400,80,47,4,4,242,66,4,4,788,123,46,10,1076,199,73,37,170,100
2016,NJ0151400,94,67,7,0,193,60,2,2,718,105,38,6,949,171,61,30,169,109
2017,NJ0151400,60,47,5,1,216,57,1,0,689,104,26,19,931,180,30,7,95,57
2018,NJ0151400,97,69,7,4,145,25,0,0,588,92,46,10,779,127,30,9,129,79
