ori,year,aggravated_assault,all_other_offenses,arson,burglary,curfew,disorderly_conduct,dui,drug_grand_total,drunkness,embezzlement,forgery,fraud,gambling_total,human_trafficking_commercial_sex_traffic,human_trafficking_servitude,larceny,liquor_laws,manslaughter,motor_vehicle_theft,murder,offense_against_family,prostitution_total,rape,robbery,other_sex_offenses,simple_assault,stolen_property,suspicion,vagrancy,vandalism,weapons
NM0250100,2018,29,199,0,6,0,39,41,42,0,0,0,1,0,0,0,31,1,0,5,2,2,0,1,2,0,46,10,0,0,10,10
NM0250100,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM0250100,2016,32,287,0,11,0,53,43,22,0,1,1,4,0,0,0,40,4,0,2,0,2,0,0,3,0,52,5,0,0,20,6
NM0250100,2015,31,251,0,6,0,36,46,22,0,0,2,3,0,0,0,30,1,0,3,0,4,0,0,0,1,42,4,0,0,17,4
NM0250100,2014,60,295,0,23,0,59,43,12,0,1,3,3,0,0,0,37,0,0,1,0,2,0,0,2,2,75,5,0,0,13,4
NM0250100,2013,33,520,0,25,0,16,47,21,0,1,1,5,0,0,0,28,9,0,1,1,0,1,2,3,0,58,4,0,0,19,2
NM0250100,2012,40,494,1,15,0,0,32,37,0,0,2,0,0,0,0,28,1,0,3,1,1,0,0,2,0,52,3,0,0,15,3
NM0250100,2011,27,418,0,17,0,0,53,19,0,0,0,0,0,0,0,32,2,1,0,1,3,0,0,7,0,44,5,0,0,14,4
NM0250100,2010,43,323,0,13,0,0,36,23,0,2,1,0,0,0,0,35,2,0,2,1,2,0,3,3,1,63,6,0,0,10,6
NM0250100,2009,46,438,1,29,0,0,48,19,0,1,3,1,0,0,0,34,2,0,4,4,2,0,2,8,1,60,1,0,0,11,3
NM0250100,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM0250100,2007,35,635,1,24,0,0,59,66,0,1,2,1,0,0,0,43,3,0,0,1,2,0,0,6,1,62,7,0,0,28,5
NM0250100,2006,50,124,0,11,0,191,88,91,0,2,3,1,0,0,0,41,45,0,5,0,17,0,1,6,1,72,2,1,0,1,11
NM0250100,2005,69,121,1,28,0,179,83,98,7,0,2,1,0,0,0,70,60,0,6,1,13,0,3,4,3,71,6,0,0,0,12
NM0250100,2004,53,85,0,26,0,186,72,67,2,2,2,2,0,0,0,42,35,0,6,0,28,0,2,7,0,79,5,0,0,0,8
NM0250100,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM0250100,2002,40,155,2,22,0,167,122,95,2,0,1,1,0,0,0,175,256,0,10,2,10,0,1,3,1,119,4,0,0,0,10
NM0250100,2001,46,191,0,25,0,118,119,68,1,1,1,2,0,0,0,243,232,1,4,1,3,0,5,4,0,150,8,0,1,14,10
NM0250100,2000,43,88,0,20,0,97,145,86,1,0,2,1,0,0,0,108,52,0,5,4,2,0,1,3,1,222,7,0,0,17,28
NM0250100,1999,23,138,6,25,14,95,80,76,11,3,2,2,0,0,0,78,41,1,6,1,6,0,0,0,2,151,7,0,0,15,15
NM0250100,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM0250100,1997,255,493,0,41,22,49,102,134,65,3,3,4,0,0,0,321,206,0,10,1,14,0,1,4,4,77,10,0,0,78,42
NM0250100,1996,136,583,5,17,3,60,178,166,82,1,4,1,0,0,0,245,173,0,6,2,52,0,1,4,2,214,8,0,1,45,38
NM0250100,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM0250100,1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM0250100,1993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM0250100,1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM0250100,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM0250100,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM0250100,1989,74,189,0,48,3,119,180,22,4,1,3,1,5,0,0,181,145,0,2,0,1,0,2,1,5,82,14,0,0,34,13
NM0250100,1988,87,154,0,34,4,62,257,28,5,0,2,0,0,0,0,142,108,0,9,1,3,0,4,2,2,62,8,0,0,9,13
NM0250100,1987,94,115,0,30,32,67,194,34,4,0,4,6,0,0,0,115,96,0,9,1,4,0,0,5,4,34,7,1,0,23,20
NM0250100,1986,98,156,0,42,15,68,203,35,7,0,2,5,0,0,0,195,94,0,7,1,8,0,1,2,5,23,4,7,0,28,18
NM0250100,1985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
