Label,Value,Year
Reported,356,1985
Cleared,75,1985
Reported,346,1986
Cleared,55,1986
Reported,247,1987
Cleared,51,1987
Reported,372,1988
Cleared,62,1988
Reported,509,1989
Cleared,62,1989
Reported,439,1990
Cleared,81,1990
Reported,481,1991
Cleared,104,1991
Reported,402,1992
Cleared,63,1992
Reported,459,1993
Cleared,97,1993
Reported,406,1994
Cleared,74,1994
Reported,396,1995
Cleared,72,1995
Reported,379,1996
Cleared,60,1996
Reported,332,1997
Cleared,59,1997
Reported,382,1998
Cleared,48,1998
Reported,311,1999
Cleared,31,1999
Reported,245,2000
Cleared,17,2000
Reported,268,2001
Cleared,17,2001
Reported,288,2002
Cleared,13,2002
Reported,280,2003
Cleared,14,2003
Reported,350,2004
Cleared,6,2004
Reported,441,2005
Cleared,21,2005
Reported,391,2006
Cleared,48,2006
Reported,334,2007
Cleared,17,2007
Reported,319,2008
Cleared,6,2008
Reported,271,2009
Cleared,7,2009
Reported,240,2010
Cleared,10,2010
Reported,232,2011
Cleared,10,2011
Reported,216,2012
Cleared,61,2012
Reported,257,2013
Cleared,69,2013
Reported,141,2014
Cleared,37,2014
Reported,134,2015
Cleared,23,2015
Reported,99,2016
Cleared,6,2016
Reported,91,2017
Cleared,12,2017
Reported,47,2018
Cleared,5,2018
