Label,Value,Year
Reported,18533,1985
Cleared,4134,1985
Reported,19689,1986
Cleared,4337,1986
Reported,20069,1987
Cleared,4817,1987
Reported,20341,1988
Cleared,5458,1988
Reported,21930,1989
Cleared,6329,1989
Reported,24009,1990
Cleared,6512,1990
Reported,25828,1991
Cleared,6125,1991
Reported,26116,1992
Cleared,5482,1992
Reported,23855,1993
Cleared,4200,1993
Reported,29351,1994
Cleared,4489,1994
Reported,30445,1995
Cleared,5291,1995
Reported,28952,1996
Cleared,8166,1996
Reported,23781,1997
Cleared,7201,1997
Reported,24396,1998
Cleared,5528,1998
Reported,21793,1999
Cleared,6288,1999
Reported,22094,2000
Cleared,6938,2000
Reported,22394,2001
Cleared,6993,2001
Reported,24204,2002
Cleared,6728,2002
Reported,30052,2003
Cleared,3107,2003
Reported,29265,2004
Cleared,7389,2004
Reported,27695,2005
Cleared,6016,2005
Reported,26815,2006
Cleared,5184,2006
Reported,27156,2007
Cleared,5038,2007
Reported,26856,2008
Cleared,6394,2008
Reported,25229,2009
Cleared,7934,2009
Reported,22231,2010
Cleared,7014,2010
Reported,21977,2011
Cleared,5080,2011
Reported,25522,2012
Cleared,6445,2012
Reported,26548,2013
Cleared,6319,2013
Reported,23432,2014
Cleared,4895,2014
Reported,24010,2015
Cleared,3659,2015
Reported,24645,2016
Cleared,2792,2016
Reported,26608,2017
Cleared,2853,2017
Reported,26756,2018
Cleared,2775,2018
