Label,Value,Year
Reported,31567,1985
Cleared,4961,1985
Reported,31894,1986
Cleared,5329,1986
Reported,33136,1987
Cleared,5867,1987
Reported,33437,1988
Cleared,6572,1988
Reported,35530,1989
Cleared,7479,1989
Reported,39434,1990
Cleared,7664,1990
Reported,43118,1991
Cleared,7403,1991
Reported,43853,1992
Cleared,6821,1992
Reported,41084,1993
Cleared,5321,1993
Reported,48743,1994
Cleared,5922,1994
Reported,50655,1995
Cleared,7243,1995
Reported,48534,1996
Cleared,11231,1996
Reported,42621,1997
Cleared,9984,1997
Reported,46064,1998
Cleared,9095,1998
Reported,41695,1999
Cleared,9866,1999
Reported,41059,2000
Cleared,10949,2000
Reported,43021,2001
Cleared,11367,2001
Reported,47829,2002
Cleared,11723,2002
Reported,57552,2003
Cleared,8316,2003
Reported,59654,2004
Cleared,12645,2004
Reported,62013,2005
Cleared,11448,2005
Reported,61405,2006
Cleared,7829,2006
Reported,58897,2007
Cleared,7475,2007
Reported,53160,2008
Cleared,8035,2008
Reported,47668,2009
Cleared,9393,2009
Reported,43219,2010
Cleared,8302,2010
Reported,41426,2011
Cleared,6309,2011
Reported,46427,2012
Cleared,7738,2012
Reported,47968,2013
Cleared,7730,2013
Reported,44754,2014
Cleared,6182,2014
Reported,46791,2015
Cleared,4482,2015
Reported,46000,2016
Cleared,3729,2016
Reported,47896,2017
Cleared,4241,2017
Reported,46673,2018
Cleared,4125,2018
