Label,Value,Year
Legacy Rape Reported,278,1985
Legacy Rape Cleared,56,1985
Legacy Rape Reported,323,1986
Legacy Rape Cleared,163,1986
Legacy Rape Reported,308,1987
Legacy Rape Cleared,111,1987
Legacy Rape Reported,363,1988
Legacy Rape Cleared,119,1988
Legacy Rape Reported,305,1989
Legacy Rape Cleared,79,1989
Legacy Rape Reported,371,1990
Legacy Rape Cleared,73,1990
Legacy Rape Reported,433,1991
Legacy Rape Cleared,86,1991
Legacy Rape Reported,393,1992
Legacy Rape Cleared,68,1992
Legacy Rape Reported,435,1993
Legacy Rape Cleared,49,1993
Legacy Rape Reported,574,1994
Legacy Rape Cleared,96,1994
Legacy Rape Reported,571,1995
Legacy Rape Cleared,98,1995
Legacy Rape Reported,475,1996
Legacy Rape Cleared,107,1996
Legacy Rape Reported,492,1997
Legacy Rape Cleared,109,1997
Legacy Rape Reported,501,1998
Legacy Rape Cleared,182,1998
Legacy Rape Reported,532,1999
Legacy Rape Cleared,172,1999
Legacy Rape Reported,443,2000
Legacy Rape Cleared,194,2000
Legacy Rape Reported,447,2001
Legacy Rape Cleared,164,2001
Legacy Rape Reported,494,2002
Legacy Rape Cleared,156,2002
Legacy Rape Reported,511,2003
Legacy Rape Cleared,121,2003
Legacy Rape Reported,605,2004
Legacy Rape Cleared,85,2004
Legacy Rape Reported,616,2005
Legacy Rape Cleared,104,2005
Legacy Rape Reported,718,2006
Legacy Rape Cleared,118,2006
Legacy Rape Reported,723,2007
Legacy Rape Cleared,95,2007
Legacy Rape Reported,729,2008
Legacy Rape Cleared,173,2008
Legacy Rape Reported,698,2009
Legacy Rape Cleared,128,2009
Legacy Rape Reported,652,2010
Legacy Rape Cleared,108,2010
Legacy Rape Reported,651,2011
Legacy Rape Cleared,114,2011
Legacy Rape Reported,596,2012
Legacy Rape Cleared,117,2012
Legacy Rape Reported,705,2013
Legacy Rape Cleared,159,2013
Revised Rape Reported,780,2014
Revised Rape Cleared,156,2014
Revised Rape Reported,1107,2015
Revised Rape Cleared,136,2015
Revised Rape Reported,1200,2016
Revised Rape Cleared,122,2016
Revised Rape Reported,1296,2017
Revised Rape Cleared,205,2017
Revised Rape Reported,1610,2018
Revised Rape Cleared,172,2018
