Label,Value,Year
Reported,1755,1985
Cleared,329,1985
Reported,1933,1986
Cleared,300,1986
Reported,1837,1987
Cleared,235,1987
Reported,1887,1988
Cleared,276,1988
Reported,2046,1989
Cleared,298,1989
Reported,2229,1990
Cleared,281,1990
Reported,3193,1991
Cleared,351,1991
Reported,3609,1992
Cleared,416,1992
Reported,3572,1993
Cleared,348,1993
Reported,3805,1994
Cleared,572,1994
Reported,3712,1995
Cleared,667,1995
Reported,3650,1996
Cleared,895,1996
Reported,3106,1997
Cleared,867,1997
Reported,3292,1998
Cleared,797,1998
Reported,3121,1999
Cleared,767,1999
Reported,3366,2000
Cleared,504,2000
Reported,3667,2001
Cleared,636,2001
Reported,3776,2002
Cleared,671,2002
Reported,3955,2003
Cleared,673,2003
Reported,3729,2004
Cleared,553,2004
Reported,3494,2005
Cleared,510,2005
Reported,5381,2006
Cleared,883,2006
Reported,5251,2007
Cleared,1054,2007
Reported,4932,2008
Cleared,1188,2008
Reported,4495,2009
Cleared,1181,2009
Reported,4003,2010
Cleared,1081,2010
Reported,3493,2011
Cleared,992,2011
Reported,3824,2012
Cleared,941,2012
Reported,4072,2013
Cleared,1080,2013
Reported,4885,2014
Cleared,1236,2014
Reported,5010,2015
Cleared,1100,2015
Reported,4974,2016
Cleared,1007,2016
Reported,3436,2017
Cleared,831,2017
Reported,2690,2018
Cleared,660,2018
