year,ori,aggravated_assault_actual,aggravated_assault_cleared,arson_actual,arson_cleared,burglary_actual,burglary_cleared,homicide_actual,homicide_cleared,larceny_actual,larceny_cleared,motor_vehicle_theft_actual,motor_vehicle_theft_cleared,property_crime_actual,property_crime_cleared,robbery_actual,robbery_cleared,violent_crime_actual,violent_crime_cleared
1985,NV0020100,1534,569,356,75,9975,521,57,36,18533,4134,3059,306,31567,4961,1755,329,3624,990
1986,NV0020100,1616,873,346,55,9077,450,75,40,19689,4337,3128,542,31894,5329,1933,300,3947,1376
1987,NV0020100,1692,647,247,51,9395,545,47,33,20069,4817,3672,505,33136,5867,1837,235,3884,1026
1988,NV0020100,1720,715,372,62,8965,579,54,38,20341,5458,4131,535,33437,6572,1887,276,4024,1148
1989,NV0020100,1676,650,509,62,9019,638,67,63,21930,6329,4581,512,35530,7479,2046,298,4094,1090
1990,NV0020100,1831,667,439,81,10176,671,79,49,24009,6512,5249,481,39434,7664,2229,281,4510,1070
1991,NV0020100,1932,486,481,104,10743,628,103,47,25828,6125,6547,650,43118,7403,3193,351,5661,970
1992,NV0020100,1926,477,402,63,10337,621,99,56,26116,5482,7400,718,43853,6821,3609,416,6027,1017
1993,NV0020100,3183,550,459,97,9783,577,91,47,23855,4200,7446,544,41084,5321,3572,348,7281,994
1994,NV0020100,4934,1241,406,74,11657,1047,105,35,29351,4489,7735,386,48743,5922,3805,572,9418,1944
1995,NV0020100,5122,1834,396,72,12219,1270,118,67,30445,5291,7991,682,50655,7243,3712,667,9523,2666
1996,NV0020100,4123,2285,379,60,11656,2138,161,73,28952,8166,7926,927,48534,11231,3650,895,8409,3360
1997,NV0020100,3790,2045,332,59,10990,1929,121,54,23781,7201,7850,854,42621,9984,3106,867,7509,3075
1998,NV0020100,3142,1249,382,48,11428,2464,116,50,24396,5528,10240,1103,46064,9095,3292,797,7051,2278
1999,NV0020100,2371,895,311,31,10130,2552,109,73,21793,6288,9772,1026,41695,9866,3121,767,6133,1907
2000,NV0020100,2450,825,245,17,9535,2968,90,53,22094,6938,9430,1043,41059,10949,3366,504,6349,1576
2001,NV0020100,3302,1324,268,17,10083,3072,133,92,22394,6993,10544,1302,43021,11367,3667,636,7549,2216
2002,NV0020100,4574,1808,288,13,11136,3162,137,72,24204,6728,12489,1833,47829,11723,3776,671,8981,2707
2003,NV0020100,4551,1028,280,14,12782,3411,141,54,30052,3107,14718,1798,57552,8316,3955,673,9158,1876
2004,NV0020100,5318,1322,350,6,14224,3324,131,71,29265,7389,16165,1932,59654,12645,3729,553,9783,2031
2005,NV0020100,5275,1584,441,21,14368,3391,145,107,27695,6016,19950,2041,62013,11448,3494,510,9530,2305
2006,NV0020100,6680,2195,391,48,14913,868,152,104,26815,5184,19677,1777,61405,7829,5381,883,12931,3300
2007,NV0020100,7548,3116,334,17,15296,873,119,82,27156,5038,16445,1564,58897,7475,5251,1054,13641,4347
2008,NV0020100,7543,3494,319,6,14902,962,120,80,26856,6394,11402,679,53160,8035,4932,1188,13324,4935
2009,NV0020100,7735,3608,271,7,13512,923,111,88,25229,7934,8927,536,47668,9393,4495,1181,13039,5005
2010,NV0020100,7886,3527,240,10,13824,842,107,83,22231,7014,7164,446,43219,8302,4003,1081,12648,4799
2011,NV0020100,6587,3082,232,10,12662,845,82,65,21977,5080,6787,384,41426,6309,3493,992,10813,4253
2012,NV0020100,7102,3199,216,61,14220,960,76,59,25522,6445,6685,333,46427,7738,3824,941,11598,4316
2013,NV0020100,6500,2909,257,69,14785,1035,97,76,26548,6319,6635,376,47968,7730,4072,1080,11374,4224
2014,NV0020100,7089,3171,141,37,14150,850,122,92,23432,4895,7172,437,44754,6182,4885,1236,12876,4655
2015,NV0020100,8139,3015,134,23,14876,555,127,80,24010,3659,7905,268,46791,4482,5010,1100,14383,4331
2016,NV0020100,7188,2679,99,6,12500,607,158,106,24645,2792,8855,330,46000,3729,4974,1007,13520,3914
2017,NV0020100,5134,2271,91,12,13102,1113,198,177,26608,2853,8186,275,47896,4241,3436,831,10064,3484
2018,NV0020100,5529,2003,47,5,11968,1011,120,96,26756,2775,7949,339,46673,4125,2690,660,9949,2931
