Label,Value,Year
Reported,50356,1985
Cleared,28533,1985
Reported,57306,1986
Cleared,29825,1986
Reported,64244,1987
Cleared,32886,1987
Reported,71030,1988
Cleared,34896,1988
Reported,70951,1989
Cleared,29681,1989
Reported,68891,1990
Cleared,31846,1990
Reported,66832,1991
Cleared,31150,1991
Reported,63529,1992
Cleared,29534,1992
Reported,62778,1993
Cleared,26966,1993
Reported,59755,1994
Cleared,29101,1994
Reported,52322,1995
Cleared,12068,1995
Reported,45673,1996
Cleared,23309,1996
Reported,45218,1997
Cleared,26933,1997
Reported,43853,1998
Cleared,27888,1998
Reported,40488,1999
Cleared,24410,1999
Reported,40831,2000
Cleared,24697,2000
Reported,37812,2001
Cleared,23572,2001
Reported,34334,2002
Cleared,9709,2002
Reported,31253,2003
Cleared,0,2003
Reported,29317,2004
Cleared,0,2004
Reported,27950,2005
Cleared,0,2005
Reported,26908,2006
Cleared,0,2006
Reported,27295,2007
Cleared,0,2007
Reported,24831,2008
Cleared,0,2008
Reported,26457,2009
Cleared,0,2009
Reported,27309,2010
Cleared,0,2010
Reported,29829,2011
Cleared,0,2011
Reported,31211,2012
Cleared,0,2012
Reported,31767,2013
Cleared,23618,2013
Reported,31460,2014
Cleared,23420,2014
Reported,30546,2015
Cleared,22556,2015
Reported,30873,2016
Cleared,22685,2016
Reported,29771,2017
Cleared,21324,2017
Reported,30042,2018
Cleared,21319,2018
