Label,Value,Year
Reported,135152,1985
Cleared,48998,1985
Reported,143251,1986
Cleared,51190,1986
Reported,148313,1987
Cleared,54878,1987
Reported,162916,1988
Cleared,59305,1988
Reported,169487,1989
Cleared,52142,1989
Reported,174542,1990
Cleared,56822,1990
Reported,170390,1991
Cleared,55582,1991
Reported,159578,1992
Cleared,51080,1992
Reported,153543,1993
Cleared,47359,1993
Reported,136522,1994
Cleared,49291,1994
Reported,115153,1995
Cleared,19704,1995
Reported,98660,1996
Cleared,39862,1996
Reported,92853,1997
Cleared,42442,1997
Reported,85891,1998
Cleared,43086,1998
Reported,78945,1999
Cleared,37792,1999
Reported,75692,2000
Cleared,36970,2000
Reported,68204,2001
Cleared,34488,2001
Reported,63839,2002
Cleared,15517,2002
Reported,59448,2003
Cleared,0,2003
Reported,55688,2004
Cleared,0,2004
Reported,54623,2005
Cleared,0,2005
Reported,52086,2006
Cleared,0,2006
Reported,50453,2007
Cleared,0,2007
Reported,48430,2008
Cleared,0,2008
Reported,46357,2009
Cleared,0,2009
Reported,48489,2010
Cleared,0,2010
Reported,51209,2011
Cleared,0,2011
Reported,52993,2012
Cleared,0,2012
Reported,52384,2013
Cleared,32563,2013
Reported,50564,2014
Cleared,32130,2014
Reported,50088,2015
Cleared,31700,2015
Reported,49124,2016
Cleared,31656,2016
Reported,46433,2017
Cleared,29417,2017
Reported,46113,2018
Cleared,29355,2018
