year,ori,aggravated_assault_actual,aggravated_assault_cleared,arson_actual,arson_cleared,burglary_actual,burglary_cleared,homicide_actual,homicide_cleared,larceny_actual,larceny_cleared,motor_vehicle_theft_actual,motor_vehicle_theft_cleared,property_crime_actual,property_crime_cleared,robbery_actual,robbery_cleared,violent_crime_actual,violent_crime_cleared
1985,NY0303000,50356,28533,7679,343,124838,10840,1384,895,262051,28987,79426,5114,466315,44941,79532,17602,135152,48998
1986,NY0303000,57306,29825,9385,343,124382,10993,1582,1002,281713,29630,85853,5755,491948,46378,80827,18655,143251,51190
1987,NY0303000,64244,32886,6449,182,123412,12157,1672,1054,289126,31587,95654,7853,508192,51597,78890,19265,148313,54878
1988,NY0303000,71030,34896,6604,0,127148,12546,1896,1239,308479,32069,119940,10457,555567,55072,86578,21479,162916,59305
1989,NY0303000,70951,29681,6115,0,121322,10642,1905,869,287749,23724,133861,9566,542932,43932,93377,20262,169487,52142
1990,NY0303000,68891,31846,6181,0,119937,10202,2245,1388,268620,25747,147123,9709,535680,45658,100280,22068,174542,56822
1991,NY0303000,66832,31150,5199,0,112015,10117,2154,1286,256473,24900,139977,9341,508465,44358,98512,21491,170390,55582
1992,NY0303000,63529,29534,4962,0,103476,8674,1995,1181,236169,22930,126959,7420,466604,39024,91239,18976,159578,51080
1993,NY0303000,62778,26966,4443,0,99207,7618,1946,1207,235132,19740,112464,5338,446803,32696,86001,17959,153543,47359
1994,NY0303000,59755,29101,4922,0,88370,7875,1561,998,209808,21590,95420,4920,393598,34385,72540,17829,136522,49291
1995,NY0303000,52322,12068,2307,0,73889,3440,1177,344,183037,10378,72679,2153,329605,15971,59280,6766,115153,19704
1996,NY0303000,45673,23309,0,0,61270,7688,983,634,162246,23262,60379,4101,283895,35051,49672,14716,98660,39862
1997,NY0303000,45218,26933,0,0,54099,7404,770,676,157039,25765,51893,3502,263031,36671,44708,13729,92853,42442
1998,NY0303000,43853,27888,0,0,46185,7171,633,548,147018,23385,44056,3026,237259,33582,39359,13441,85891,43086
1999,NY0303000,40488,24410,0,0,40469,5558,664,552,140370,19614,39693,2758,220532,27930,36091,11820,78945,37792
2000,NY0303000,40831,24697,0,0,37112,5221,673,530,139661,20121,35846,2730,212619,28072,32558,10888,75692,36970
2001,NY0303000,37812,23572,0,0,31563,4710,660,433,133938,20316,29989,2534,195490,27560,28202,9594,68204,34488
2002,NY0303000,34334,9709,0,0,30102,4567,587,164,129655,16939,27034,3576,186791,25082,27229,5308,63839,15517
2003,NY0303000,31253,0,0,0,28293,0,597,0,124846,0,23628,0,176767,0,25989,0,59448,0
2004,NY0303000,29317,0,0,0,26100,0,570,0,124016,0,21072,0,171188,0,24373,0,55688,0
2005,NY0303000,27950,0,0,0,23210,0,539,0,120918,0,18381,0,162509,0,24722,0,54623,0
2006,NY0303000,26908,0,0,0,22137,0,596,0,115363,0,15936,0,153436,0,23511,0,52086,0
2007,NY0303000,27295,0,0,0,20914,0,496,0,115318,0,13256,0,149488,0,21787,0,50453,0
2008,NY0303000,24831,0,0,0,19867,0,523,0,117682,0,12440,0,149989,0,22186,0,48430,0
2009,NY0303000,26457,0,0,0,18780,0,471,0,112526,0,10694,0,142000,0,18597,0,46357,0
2010,NY0303000,27309,0,0,0,17926,0,536,0,111370,0,10319,0,139615,0,19608,0,48489,0
2011,NY0303000,29829,0,0,0,18159,0,515,0,112864,0,9434,0,140457,0,19773,0,51209,0
2012,NY0303000,31211,0,0,0,18635,0,419,0,115935,0,8190,0,142760,0,20201,0,52993,0
2013,NY0303000,31767,23618,0,0,16606,3814,335,245,117931,29782,7434,754,141971,34350,19170,8060,52384,32563
2014,NY0303000,31460,23420,0,0,15916,3773,333,237,112107,29016,7724,980,135747,33769,16581,7349,50564,32130
2015,NY0303000,30546,22556,0,0,14098,3765,352,238,108376,28358,7386,895,129860,33018,16946,7813,50088,31700
2016,NY0303000,30873,22685,0,0,12041,3501,335,232,106868,25896,6369,894,125278,30291,15544,7666,49124,31656
2017,NY0303000,29771,21324,0,0,11104,3256,292,268,107976,24567,5735,917,124815,28740,13995,6876,46433,29417
2018,NY0303000,30042,21319,0,0,10837,3646,295,256,111680,25492,5534,849,128051,29987,12962,6670,46113,29355
