Label,Value,Year
Reported,1034,1985
Cleared,155,1985
Reported,771,1986
Cleared,105,1986
Reported,1041,1987
Cleared,99,1987
Reported,1087,1988
Cleared,91,1988
Reported,836,1989
Cleared,149,1989
Reported,789,1990
Cleared,115,1990
Reported,717,1991
Cleared,158,1991
Reported,503,1992
Cleared,104,1992
Reported,528,1993
Cleared,85,1993
Reported,559,1994
Cleared,98,1994
Reported,402,1995
Cleared,315,1995
Reported,565,1996
Cleared,244,1996
Reported,120,1997
Cleared,7,1997
Reported,391,1998
Cleared,101,1998
Reported,385,1999
Cleared,267,1999
Reported,343,2000
Cleared,7,2000
Reported,428,2001
Cleared,26,2001
Reported,349,2002
Cleared,71,2002
Reported,316,2003
Cleared,103,2003
Reported,258,2004
Cleared,168,2004
Reported,294,2005
Cleared,162,2005
Reported,264,2006
Cleared,135,2006
Reported,316,2007
Cleared,112,2007
Reported,333,2008
Cleared,37,2008
Reported,316,2009
Cleared,23,2009
Reported,342,2010
Cleared,25,2010
Reported,401,2011
Cleared,32,2011
Reported,341,2012
Cleared,23,2012
Reported,304,2013
Cleared,33,2013
Reported,230,2014
Cleared,12,2014
Reported,211,2015
Cleared,15,2015
Reported,206,2016
Cleared,15,2016
Reported,160,2017
Cleared,13,2017
Reported,141,2018
Cleared,24,2018
