Label,Value,Year
Reported,5,1985
Cleared,4,1985
Reported,4,1986
Cleared,3,1986
Reported,3,1987
Cleared,3,1987
Reported,6,1988
Cleared,5,1988
Reported,4,1989
Cleared,4,1989
Reported,4,1990
Cleared,4,1990
Reported,5,1991
Cleared,3,1991
Reported,4,1992
Cleared,3,1992
Reported,5,1993
Cleared,2,1993
Reported,4,1994
Cleared,5,1994
Reported,2,1995
Cleared,1,1995
Reported,7,1996
Cleared,2,1996
Reported,0,1997
Cleared,0,1997
Reported,0,1998
Cleared,0,1998
Reported,6,1999
Cleared,4,1999
Reported,1,2000
Cleared,1,2000
Reported,7,2001
Cleared,7,2001
Reported,7,2002
Cleared,3,2002
Reported,2,2003
Cleared,2,2003
Reported,3,2004
Cleared,2,2004
Reported,3,2005
Cleared,2,2005
Reported,1,2006
Cleared,0,2006
Reported,2,2007
Cleared,1,2007
Reported,7,2008
Cleared,5,2008
Reported,4,2009
Cleared,2,2009
Reported,11,2010
Cleared,3,2010
Reported,4,2011
Cleared,4,2011
Reported,5,2012
Cleared,2,2012
Reported,5,2013
Cleared,1,2013
Reported,1,2014
Cleared,1,2014
Reported,4,2015
Cleared,1,2015
Reported,6,2016
Cleared,4,2016
Reported,6,2017
Cleared,4,2017
Reported,2,2018
Cleared,0,2018
